feature,importance
DM,0.34063385140580643
CABGPRE,0.09717492199462795
QRSADM,0.036495511065894944
PQADM,0.03368259333087424
BMI,0.03295726496257552
CT_Area_Deri,0.03015656988297624
ECC_INDEX,0.029772589103475702
CT_AnnMean,0.029564163812595343
CT_AnnScRCC,0.029552695537152562
CT_AnnScLCC,0.028189076034533092
CT_Peri_Deri,0.02813860131808306
AGE,0.027800181010438314
CT_AnnScNCC,0.02717625473550208
CT_AnnScTot,0.026121155167297478
LVEFPRE,0.02552276771627871
CT_ValScLCC,0.019637811777875297
CT_ValScRCC,0.018508234276547884
CT_ValvScTot,0.018284547499290302
CT_ValScNCC,0.017693299844140642
CT_LVOTScTot,0.017293025767023167
CT_LVOTScNCC,0.013115312894784542
CT_LVOTScLCC,0.012820034081810677
model4,0.009403041436034897
AFPRE,0.007655410748141118
CT_LVOTScRCC,0.005322371540793837
brand8,0.005103253056731175
PREDILATION,0.004640006960898485
model3,0.0041630488758131355
nyha3,0.00413582956516611
nyha2,0.004069800430885381
brand2,0.004028717221341862
model2,0.0032004951576054545
SEX,0.0030735658427201774
model7,0.002194680883303709
nyha4,0.0013318368969814718
model8,0.0012293611718086194
model1,0.00015811699219038568
NTPROBNPPRE,0.0
