feature,importance
DM,0.195619947122894
CT_Area_Deri,0.054825904686845756
QRSADM,0.051464540699559566
CT_Peri_Deri,0.04952572597881098
CABGPRE,0.0407899497788976
CT_AnnScTot,0.04048702919149711
PQADM,0.03974332577913419
CT_AnnScLCC,0.03717685044927794
CT_AnnScNCC,0.03705863696989261
BMI,0.036917054508986684
AGE,0.034360532824800914
ECC_INDEX,0.034358666873659474
CT_AnnScRCC,0.03350330994590193
CT_AnnMean,0.03231857429790758
CT_ValScLCC,0.029098534290404064
CT_ValScNCC,0.028169787530047827
CT_ValScRCC,0.027103371841332668
CT_ValvScTot,0.02555250141077462
LVEFPRE,0.02510896838766993
CT_LVOTScTot,0.022632269538506247
NTPROBNPPRE,0.021569277987264372
CT_LVOTScLCC,0.015460565733735077
CT_LVOTScNCC,0.012705098316141816
brand2,0.01178743185578347
model4,0.008173061213262209
PREDILATION,0.008092398533448206
AFPRE,0.00803508060898272
CT_LVOTScRCC,0.006936516688673795
nyha3,0.004794280677557859
nyha2,0.004774678217937892
model3,0.004518044228442866
SEX,0.004081431790030821
model2,0.0038412477370453227
brand8,0.0036533151275547947
model7,0.0023245081958988755
nyha4,0.002030677735113933
model8,0.0011909353074846093
model1,0.00021596793883965458
