feature,importance
QRSADM,0.057194943624407926
NTPROBNPPRE,0.05369553986175132
CT_ValScLCC,0.05358855866792898
AGE,0.05275442291036742
CT_ValScNCC,0.05200220492847515
PQADM,0.0509817403552653
BMI,0.04866675230529501
ECC_INDEX,0.04864262754171046
CT_ValScRCC,0.0462596687023242
CT_ValvScTot,0.04448278137126843
CT_Area_Deri,0.043171389291684965
CT_AnnScTot,0.0409261342365878
CT_Peri_Deri,0.03990104405169948
CT_AnnMean,0.03977707992304753
CT_LVOTScTot,0.03654814655561025
CT_AnnScLCC,0.03560703523804348
brand2,0.03196067154186428
CT_AnnScNCC,0.030952419155386816
CT_AnnScRCC,0.027994787673093963
CT_LVOTScLCC,0.025109338401625672
PREDILATION,0.023047281195727718
LVEFPRE,0.016772793023461793
CT_LVOTScNCC,0.015269250898947815
CT_LVOTScRCC,0.013670640257969527
CABGPRE,0.010134678272327278
AFPRE,0.009471462994493448
model3,0.007092526228239049
DM,0.006600819110795419
nyha2,0.006503088871913722
nyha3,0.006502811924640534
SEX,0.005459098869742331
model4,0.005327339416186827
model7,0.004262700060356817
model2,0.003977251052980327
nyha4,0.0036476276184156907
model8,0.0016475325390159982
model1,0.000329130516898026
brand8,6.668081044935909e-05
