feature,feature_pretty,group,raw_delta_log_loss,repeat_std_raw,importance_percent,baseline_test_log_loss
DM,Diabetes Mellitus,Patient,1.875067791734137,0.12537802608510876,96.24920627901619,0.3330080428103921
CT_ValScRCC,RCC Valvular Calcification,Radiomics,0.03512507925508386,0.014112908178453027,1.8030073438905894,0.3330080428103921
LVEFPRE,LVEF,Patient,-0.009275676204083993,0.02398728571804148,0.47613023714655517,0.3330080428103921
CT_ValScLCC,LCC Valvular Calcification,Radiomics,0.006610827152585863,0.0025142188683568677,0.3393407262868585,0.3330080428103921
CT_ValvScTot,Total Valvular Calcification,Radiomics,0.0038009639876312785,0.002395490970985373,0.1951074881224917,0.3330080428103921
CT_ValScNCC,NCC Valvular Calcification,Radiomics,0.002087729514819281,0.000546725007376437,0.10716535669400623,0.3330080428103921
SEX,Sex,Patient,0.0017701151007217142,0.00225300548601344,0.09086187401757825,0.3330080428103921
nyha4,NYHA Class:4,Patient,0.0015171523989798818,0.0018479209060452862,0.07787703188644154,0.3330080428103921
model4,Model Size:29mm,Procedural,-0.0014279043092894738,0.0008788613477187858,0.07329583336525326,0.3330080428103921
CT_LVOTScNCC,NCC LVOT Calcification,Radiomics,0.0012737671909791915,0.00019627422279596646,0.06538381260477773,0.3330080428103921
CT_AnnMean,Mean Annulus Diameter,Patient,0.0009261489948787949,0.00047600261387354336,0.04754020417083236,0.3330080428103921
CT_AnnScNCC,NCC Annular Calcification,Radiomics,0.000922316637681031,0.0006042896749171024,0.04734348523614184,0.3330080428103921
nyha2,NYHA Class:2,Patient,0.000855910822301531,0.0004433381199127446,0.043934804733621644,0.3330080428103921
QRSADM,QRS,Electrocardiographic,-0.0007848762309681124,0.0006670869777240837,0.040288524282143835,0.3330080428103921
model3,Model Size:26mm,Procedural,0.0007841590507880802,0.0010733435422575644,0.04025171066751538,0.3330080428103921
brand8,Brand: Evolut R,Procedural,0.0007592016461465013,0.000980975792873315,0.038970620779392125,0.3330080428103921
CT_LVOTScTot,Total LVOT Calcification,Radiomics,0.0007189718331578887,0.0003914158551341371,0.0369055820720043,0.3330080428103921
ECC_INDEX,Eccentricity Index,Patient,0.0006552149982469002,0.0004529236184884846,0.03363287652925184,0.3330080428103921
brand2,Brand: Sapien 3,Procedural,0.0006152256535064792,0.000627641429222157,0.031580181310523876,0.3330080428103921
PREDILATION,Predilation,Procedural,0.0005371269950650515,0.0003079377057718188,0.027571294848082187,0.3330080428103921
CT_LVOTScRCC,RCC LVOT Calcification,Radiomics,-0.0004386993238741921,0.00016273501156946645,0.022518898732179275,0.3330080428103921
model2,Model Size: 23mm,Procedural,-0.0004088134705429125,0.0005239891891695013,0.02098482637768245,0.3330080428103921
CT_AnnScTot,Total Annular Calcification,Radiomics,0.0002896347569346869,0.0002868257242914565,0.014867257380597177,0.3330080428103921
CT_AnnScLCC,LCC Annular Calcification,Radiomics,0.0002633463025275118,0.0003217413562928675,0.013517843304931868,0.3330080428103921
model8,Model Size:27mm,Procedural,-0.00017276546165818641,0.000421468258938386,0.008868233260862272,0.3330080428103921
model7,Model Size:25mm,Procedural,-0.00016294437546665597,0.00010193193592897731,0.008364106554137506,0.3330080428103921
nyha3,NYHA Class:3,Patient,-0.00014611786679122885,0.00028971857123871205,0.0075003841268224776,0.3330080428103921
CABGPRE,CABG,Patient,-0.00014062565462029663,0.0009210482707440441,0.007218463086688089,0.3330080428103921
CT_Area_Deri,Area-Derived Diameter,Patient,0.00013394596336155918,0.0005488706774034997,0.006875587493242068,0.3330080428103921
AFPRE,AF,Patient,0.00011669046443726349,0.00041881802325501006,0.00598984454424934,0.3330080428103921
CT_AnnScRCC,RCC Annular Calcification,Radiomics,9.581523331636532e-05,0.00045666691732740094,0.004918296926006025,0.3330080428103921
CT_LVOTScLCC,LCC LVOT Calficication,Radiomics,8.021098124796344e-05,0.00010304333725883378,0.004117314218723552,0.3330080428103921
PQADM,PQ Interval,Electrocardiographic,7.122000350534563e-05,0.000707285782973894,0.0036557978537077925,0.3330080428103921
BMI,BMI,Patient,4.2477224610448784e-05,0.0010136981656724132,0.0021804007149576576,0.3330080428103921
CT_Peri_Deri,Perimeter-Derived Diameter,Patient,-3.4913813088122136e-05,0.0004441029744721969,0.0017921628288424852,0.3330080428103921
AGE,Age,Patient,-2.406564520270882e-05,0.00019235770677208364,0.0012353149361127537,0.3330080428103921
NTPROBNPPRE,NT-proBNP,Patient,0.0,0.0,0.0,0.3330080428103921
model1,Model Size: 20mm,Procedural,0.0,0.0,0.0,0.3330080428103921
