feature,feature_pretty,group,importance_mean,repeat_std,fold_std,raw_mean,raw_fold_std
DM,Diabetes Mellitus,Patient,93.53055451289276,8.179456808753482,31.39815042577088,1.0344041437816411,0.3472488437243222
nyha2,NYHA Class:2,Patient,1.7842512570570113,0.9648254892412557,1.5482406166547669,-0.019732983552374447,0.017122816364977006
CABGPRE,CABG,Patient,1.1042387043942739,2.152372975652307,1.3105479713655,-0.012212363088171967,0.01449404699101007
nyha3,NYHA Class:3,Patient,0.7643171898717136,0.7405462305441672,0.8374630374096197,-0.008452990281992367,0.009261949110341883
LVEFPRE,LVEF,Patient,0.34564063244604365,0.8508216077327009,0.6603837055441026,0.0038226235728369444,0.007303534604903172
PQADM,PQ Interval,Electrocardiographic,0.31326296803896625,0.3269425429865964,0.04389769858813951,-0.0034645417630681853,0.000485487994362203
brand8,Brand: Evolut R,Procedural,0.2794246664722819,0.12516690875431705,0.1605744696028137,-0.0030903059901552154,0.0017758784560589097
model3,Model Size:26mm,Procedural,0.24635000588554756,0.24931055484830722,0.1968853205850655,-0.0027245157289590913,0.0021774594679099773
model4,Model Size:29mm,Procedural,0.21496238231032738,0.08808141484954121,0.09837836070696358,-0.0023773833072733997,0.001088018610642371
CT_LVOTScRCC,RCC LVOT Calcification,Radiomics,0.19586472681945935,0.09980487882653719,0.06513729620997134,0.0021661721786839184,0.0007203880001057702
BMI,BMI,Patient,0.16920893898205552,0.06504105354561512,0.07214929239383873,-0.0018713716449078246,0.0007979373950232746
QRSADM,QRS,Electrocardiographic,0.14801981244484533,0.18638147988575307,0.10581879380407323,-0.0016370298257306227,0.0011703063172347592
AFPRE,AF,Patient,0.13350815565467605,0.09861588164724434,0.1505900642717941,-0.0014765376956981967,0.0016654556075962872
brand2,Brand: Sapien 3,Procedural,0.1311202955575527,0.12470840930652219,0.061003931279527586,-0.001450129080972249,0.0006746749191336761
PREDILATION,Predilation,Procedural,0.10620868966277029,1.095413534196192,0.7790422165620012,-0.0011746183828905223,0.008615842183224592
ECC_INDEX,Eccentricity Index,Patient,0.0902946272781111,0.10880531293577189,0.0844732021169272,0.0009986163035612284,0.0009342340667531137
CT_AnnScRCC,RCC Annular Calcification,Radiomics,0.057358601499439346,0.09443192221972878,0.04772006754646859,0.0006343592784362384,0.0005277616054847897
CT_Area_Deri,Area-Derived Diameter,Patient,0.040006249430834404,0.04085591863473675,0.033849628205014554,-0.0004424503885809061,0.0003743610402299969
CT_LVOTScNCC,NCC LVOT Calcification,Radiomics,0.037766210810168184,0.13488123107975017,0.05867380494074493,0.000417676610177522,0.0006489048127451882
AGE,Age,Patient,0.031699991829679405,0.06520899625494851,0.1878541184522942,-0.0003505870683354551,0.002077578600549349
CT_ValScRCC,RCC Valvular Calcification,Radiomics,0.03090976905139208,0.022241109857143306,0.021722200477759874,-0.0003418475743740634,0.00024023736738514723
CT_AnnMean,Mean Annulus Diameter,Patient,0.027332188778292393,0.028449044616355324,0.03025828091522226,-0.0003022812115049578,0.0003346424206017125
model2,Model Size: 23mm,Procedural,0.027141605273353114,0.05213579106850893,0.0774186518362672,0.00030017344716770644,0.0008562140434480584
CT_ValScLCC,LCC Valvular Calcification,Radiomics,0.024579954478195595,0.028841108932008256,0.03366493754118464,-0.0002718427886868224,0.000372318447956505
CT_ValScNCC,NCC Valvular Calcification,Radiomics,0.023906768252765182,0.02903512290924991,0.0732393802448251,0.00026439766420585984,0.000809993256297901
CT_Peri_Deri,Perimeter-Derived Diameter,Patient,0.022389246453492117,0.08890243584544495,0.04076686813554167,0.00024761458357918986,0.0004508624753485364
model8,Model Size:27mm,Procedural,0.021884238521405603,0.1593056343623703,0.13568976212251677,0.00024202943228490473,0.0015006652418480936
CT_AnnScLCC,LCC Annular Calcification,Radiomics,0.021104737648055705,0.031304050878347624,0.025677025464143584,-0.00023340851757233994,0.0002839758801647606
CT_AnnScNCC,NCC Annular Calcification,Radiomics,0.01717462492315584,0.02183973957863274,0.023909261966402456,-0.0001899433108349524,0.0002644252435111813
nyha4,NYHA Class:4,Patient,0.014712545076941926,0.03637581244467451,0.04080897328045076,-0.00016271386043226205,0.00045132813853844593
SEX,Sex,Patient,0.012633321061249056,0.18977094548961135,0.04828844833698605,-0.00013971861626970835,0.0005340476309234189
CT_LVOTScTot,Total LVOT Calcification,Radiomics,0.011278898067535612,0.11768204799877757,0.14275331438156516,0.00012473933207293608,0.0015787848228195787
CT_LVOTScLCC,LCC LVOT Calficication,Radiomics,0.004554778777813878,0.0697502524315777,0.059128476794036475,5.0373720826490965e-05,0.0006539332705743441
CT_ValvScTot,Total Valvular Calcification,Radiomics,0.004190131344981312,0.016578357781346986,0.010447253155637258,-4.634089093998206e-05,0.00011554172870681907
NTPROBNPPRE,NT-proBNP,Patient,0.00414463658732673,0.0076587475136547165,0.0022955796908110753,-4.583774022005604e-05,2.5388036635970473e-05
CT_AnnScTot,Total Annular Calcification,Radiomics,0.004112376840881409,0.02793860328761802,0.027825113177651198,-4.548096252773749e-05,0.0003077327245845423
model7,Model Size:25mm,Procedural,0.003891559524641273,0.011180328859843046,0.008975703107545904,-4.303882639236312e-05,9.926707412516633e-05
model1,Model Size: 20mm,Procedural,0.0,0.0,0.0,0.0,0.0
