feature,feature_pretty,group,importance_mean,repeat_std,fold_std,raw_mean,raw_fold_std
DM,Diabetes Mellitus,Patient,95.49033830739624,6.09507782572274,5.067051733575877,2.083128584033754,0.11053809725765866
CT_ValvScTot,Total Valvular Calcification,Radiomics,1.0893253341907088,0.48033187480835726,0.6610673304759289,0.023763710352139623,0.014421231262709146
CT_ValScRCC,RCC Valvular Calcification,Radiomics,1.0688566126712755,0.811607560660293,0.4501554362720512,0.023317183723042367,0.009820173152364487
CT_ValScNCC,NCC Valvular Calcification,Radiomics,0.5447079819466054,0.4925557287542451,0.5953177763637209,0.011882843722802346,0.012986900020550316
model4,Model Size:29mm,Procedural,0.4379470044651294,0.19617123976174144,0.20767846453420094,0.009553845336231326,0.004530520610019928
CT_ValScLCC,LCC Valvular Calcification,Radiomics,0.27368292198279287,0.28917770467776605,0.14089956479495996,0.0059704125867577635,0.003073734119125673
CT_AnnMean,Mean Annulus Diameter,Patient,0.12471538103662286,0.08363058691512032,0.1390015180804217,0.002720674988811171,0.003032328093814945
CABGPRE,CABG,Patient,0.11934001209761053,0.1490801985277458,0.2683816831939412,0.002603410929587324,0.005854765682080393
QRSADM,QRS,Electrocardiographic,0.11158221977647984,0.08514121775037295,0.11040856688631281,-0.0024341741332831557,0.002408570811244748
AFPRE,AF,Patient,0.10947838508700909,0.10845851750637266,0.05078022961556182,0.00238827882852876,0.0011077743538351337
CT_Peri_Deri,Perimeter-Derived Diameter,Patient,0.07281963234556801,0.13379934654333303,0.1550661880300051,0.0015885655062773218,0.0033827800218133326
brand8,Brand: Evolut R,Procedural,0.06899528799357241,0.041210977613759144,0.1103783920164586,-0.0015051371597446651,0.002407912544293065
brand2,Brand: Sapien 3,Procedural,0.06548181920581302,0.06854501147999832,0.045671370750348356,-0.0014284905859590414,0.0009963242310000772
model8,Model Size:27mm,Procedural,0.056734353955149794,0.05545977849481892,0.02927252523583239,0.0012376640036629437,0.0006385822390670988
CT_Area_Deri,Area-Derived Diameter,Patient,0.05122306501338366,0.036914195209826264,0.12314040278522663,0.0011174348398233082,0.0026863167252122577
model3,Model Size:26mm,Procedural,0.04627245282015532,0.09008483957278172,0.06846746810215411,0.0010094368794958263,0.001493622730928887
AGE,Age,Patient,0.04148211372949268,0.013560208698200333,0.031659438850699224,-0.0009049352884044825,0.0006906529308971153
LVEFPRE,LVEF,Patient,0.03790354042220181,0.04327856802600514,0.052882648640177894,-0.0008268684548523763,0.0011536387757591147
BMI,BMI,Patient,0.033376832683210005,0.04470879956770118,0.005670436291305007,0.0007281180006199794,0.0001237009746926919
model2,Model Size: 23mm,Procedural,0.024387526583877862,0.03324359696826546,0.027866774056970984,0.0005320156428519439,0.0006079156762018741
PQADM,PQ Interval,Electrocardiographic,0.016260765243245035,0.02610602549924536,0.017714108595086892,0.0003547297609044353,0.0003864345504391761
nyha4,NYHA Class:4,Patient,0.013215900003203709,0.014218877664818845,0.011726755021546537,-0.00028830580714649166,0.0002558200024876532
CT_LVOTScRCC,RCC LVOT Calcification,Radiomics,0.012796712284667753,0.010701129501129862,0.018495663187892995,-0.00027916119697926064,0.00040348421997764034
CT_AnnScNCC,NCC Annular Calcification,Radiomics,0.01233803751245106,0.018943992969399807,0.010225027208240749,0.000269155173901785,0.00022305970245326229
nyha3,NYHA Class:3,Patient,0.012300176750452538,0.010520211385569715,0.011160224476895752,0.00026832923866131563,0.00024346109799313587
CT_AnnScLCC,LCC Annular Calcification,Radiomics,0.010200262975901547,0.011705732008624601,0.011756179557788949,0.00022251946894731974,0.00025646190085773946
CT_AnnScTot,Total Annular Calcification,Radiomics,0.00965935165241849,0.008201022869922756,0.014208451345290725,0.00021071944960140642,0.00030995838591489655
CT_LVOTScTot,Total LVOT Calcification,Radiomics,0.009403695594643538,0.007567805997170837,0.009618817022552843,0.0002051422943512282,0.00020983518374149775
nyha2,NYHA Class:2,Patient,0.0091958207630801,0.007741236468418072,0.021346434819947337,0.00020060748998037116,0.00046567400774620023
CT_AnnScRCC,RCC Annular Calcification,Radiomics,0.00769155133321114,0.008423612904861155,0.014711336345071714,0.00016779174439822907,0.0003209288582798944
model7,Model Size:25mm,Procedural,0.005462032263389838,0.016259857887472157,0.028692258351838543,-0.00011915462586543855,0.0006259236753438812
CT_LVOTScNCC,NCC LVOT Calcification,Radiomics,0.00448093896793484,0.01872832566768348,0.008409116761700749,9.77520052067171e-05,0.00018344548572428066
ECC_INDEX,Eccentricity Index,Patient,0.0030039464198331613,0.016919474387974545,0.008140906008663306,6.553130675813756e-05,0.00017759444889583285
SEX,Sex,Patient,0.0022010084990351703,0.026283668460658476,0.01325453324547409,4.801515838473325e-05,0.0002891485940995367
CT_LVOTScLCC,LCC LVOT Calficication,Radiomics,0.0019916160335709562,0.0072516819164850635,0.00881949643167594,4.344724672140198e-05,0.0001923979476799573
PREDILATION,Predilation,Procedural,0.0011473983000360394,0.010071145754941668,0.005521454168796057,-2.5030576270266277e-05,0.00012045091899690666
NTPROBNPPRE,NT-proBNP,Patient,0.0,0.0,0.0,0.0,0.0
model1,Model Size: 20mm,Procedural,0.0,0.0,0.0,0.0,0.0
