feature,feature_pretty,group,raw_delta_log_loss,repeat_std_raw,importance_percent,baseline_test_log_loss
DM,Diabetes Mellitus,Patient,1.9616993806656062,0.13272584416843136,97.24745733521634,0.2749577360652494
CT_ValvScTot,Total Valvular Calcification,Radiomics,0.012745511410561105,0.01235096908343433,0.6318341073714879,0.2749577360652494
CT_ValScRCC,RCC Valvular Calcification,Radiomics,0.011627814842241735,0.009101822561143856,0.5764264590780598,0.2749577360652494
model4,Model Size:29mm,Procedural,0.009693754319947479,0.003308787285062138,0.48054914475596405,0.2749577360652494
CT_ValScNCC,NCC Valvular Calcification,Radiomics,0.005924876384530586,0.005717584301377155,0.2937143015386847,0.2749577360652494
CT_ValScLCC,LCC Valvular Calcification,Radiomics,0.0026651149559285938,0.005808070630205648,0.1321179256743071,0.2749577360652494
CT_AnnMean,Mean Annulus Diameter,Patient,0.0025306551494933436,0.0010334630836394381,0.12545234050948093,0.2749577360652494
AFPRE,AF,Patient,0.0016809848491757373,0.0010211122082710241,0.08333157669953312,0.2749577360652494
model8,Model Size:27mm,Procedural,0.0010504551408845654,0.0011938540301781187,0.05207428442020992,0.2749577360652494
LVEFPRE,LVEF,Patient,-0.0009330361144936905,0.000275684016239978,0.046253463008004106,0.2749577360652494
CT_Peri_Deri,Perimeter-Derived Diameter,Patient,0.0009145755049418502,0.0017663466741597068,0.04533831395026951,0.2749577360652494
QRSADM,QRS,Electrocardiographic,-0.0009138287965813508,0.000991223958619082,0.04530129732573202,0.2749577360652494
model2,Model Size: 23mm,Procedural,0.0007668747096807871,0.0003138085134539013,0.03801633234233619,0.2749577360652494
CT_LVOTScRCC,RCC LVOT Calcification,Radiomics,-0.0006740420753046483,0.00020734250942916116,0.03341433382014357,0.2749577360652494
model3,Model Size:26mm,Procedural,0.0006339869725251246,0.0014419354248758195,0.03142867947524197,0.2749577360652494
BMI,BMI,Patient,0.0005485913250437458,0.0005733069055886835,0.027195355212152876,0.2749577360652494
brand2,Brand: Sapien 3,Procedural,-0.00042532792935936483,0.00047267526804697,0.021084810481928454,0.2749577360652494
nyha4,NYHA Class:4,Patient,-0.00024435759724091846,0.00014853950225159336,0.01211355585184481,0.2749577360652494
brand8,Brand: Evolut R,Procedural,0.00024269118384400156,0.0007417382407081243,0.012030946626742988,0.2749577360652494
AGE,Age,Patient,-0.00020746086377037009,0.00010376416688204017,0.010284471564338662,0.2749577360652494
nyha2,NYHA Class:2,Patient,-0.00019085301325053595,9.94794240050537e-05,0.009461169456597146,0.2749577360652494
SEX,Sex,Patient,0.00019004115750477225,0.0005593512747326624,0.009420923276281934,0.2749577360652494
CABGPRE,CABG,Patient,-0.00013753187058703764,0.0013864365780079451,0.006817876810771799,0.2749577360652494
CT_AnnScNCC,NCC Annular Calcification,Radiomics,7.554290985836153e-05,0.0001438006362352366,0.0037448938281952667,0.2749577360652494
CT_AnnScRCC,RCC Annular Calcification,Radiomics,7.077197897275012e-05,4.3018213192314294e-05,0.003508384145661575,0.2749577360652494
CT_AnnScLCC,LCC Annular Calcification,Radiomics,7.014942206420293e-05,8.282280584349188e-05,0.0034775220895283134,0.2749577360652494
PQADM,PQ Interval,Electrocardiographic,6.64490514825311e-05,0.00020524479562997143,0.0032940833660356633,0.2749577360652494
CT_LVOTScLCC,LCC LVOT Calficication,Radiomics,-5.964687040621586e-05,8.911193526787222e-05,0.002956878379112062,0.2749577360652494
CT_AnnScTot,Total Annular Calcification,Radiomics,5.7333088939948154e-05,5.8615051375143486e-05,0.0028421771325084478,0.2749577360652494
PREDILATION,Predilation,Procedural,-5.392483710096041e-05,5.252018261611774e-05,0.002673219631391649,0.2749577360652494
ECC_INDEX,Eccentricity Index,Patient,-4.351447906096873e-05,9.482746340256002e-05,0.002157146241494918,0.2749577360652494
CT_LVOTScTot,Total LVOT Calcification,Radiomics,-2.8158804664457638e-05,6.468281816508026e-05,0.001395918346208787,0.2749577360652494
CT_Area_Deri,Area-Derived Diameter,Patient,2.5243429084587098e-05,0.00011057090405424212,0.0012513942335369485,0.2749577360652494
CT_LVOTScNCC,NCC LVOT Calcification,Radiomics,-1.820679775665912e-05,0.0001115577699466935,0.0009025668282827648,0.2749577360652494
nyha3,NYHA Class:3,Patient,-1.3479358572565658e-05,0.00019611267283306183,0.000668213162837873,0.2749577360652494
model7,Model Size:25mm,Procedural,1.7344394940277396e-07,0.00022766819756267422,8.59814874584642e-06,0.2749577360652494
NTPROBNPPRE,NT-proBNP,Patient,0.0,0.0,0.0,0.2749577360652494
model1,Model Size: 20mm,Procedural,0.0,0.0,0.0,0.2749577360652494
