feature,feature_pretty,group,raw_delta_log_loss,repeat_std_raw,importance_percent,baseline_test_log_loss
CT_ValScNCC,NCC Valvular Calcification,Radiomics,-0.03346268959835443,0.0058337929664343795,19.264286088732053,2.1253852975025573
CT_ValvScTot,Total Valvular Calcification,Radiomics,-0.028671349250582966,0.002643436364616929,16.505937841300874,2.1253852975025573
DM,Diabetes Mellitus,Patient,-0.022077123459021398,0.009026084356656014,12.709678374202191,2.1253852975025573
model4,Model Size:29mm,Procedural,-0.021049161566882368,0.00753051669878208,12.117886374928636,2.1253852975025573
CT_AnnMean,Mean Annulus Diameter,Patient,-0.017969030914799688,0.014955936795905539,10.344672123934552,2.1253852975025573
CT_ValScRCC,RCC Valvular Calcification,Radiomics,-0.011934122743782805,0.005351144486530131,6.87040873025286,2.1253852975025573
CT_ValScLCC,LCC Valvular Calcification,Radiomics,-0.004035441758300884,0.004287516931052818,2.3231815929747346,2.1253852975025573
nyha4,NYHA Class:4,Patient,-0.0035372294614749223,0.0033263130867036642,2.0363635178534927,2.1253852975025573
BMI,BMI,Patient,-0.003291385652471934,0.0010087046957271283,1.894832591122186,2.1253852975025573
AFPRE,AF,Patient,-0.003026566562481392,0.0014028580142022087,1.7423776996425018,2.1253852975025573
nyha2,NYHA Class:2,Patient,0.002972346903715284,0.0008856062990114122,1.7111637407336189,2.1253852975025573
QRSADM,QRS,Electrocardiographic,-0.0029520241340848406,0.0012103724410041624,1.6994640341955198,2.1253852975025573
SEX,Sex,Patient,-0.002813707809241528,0.001418186128638967,1.6198360878317999,2.1253852975025573
CT_Peri_Deri,Perimeter-Derived Diameter,Patient,0.002395562675962193,0.001004459016237479,1.379112237753107,2.1253852975025573
model8,Model Size:27mm,Procedural,0.0023768626052196318,0.001317403766377174,1.3683467100269096,2.1253852975025573
brand2,Brand: Sapien 3,Procedural,-0.0021839989130454816,0.0032049586632203007,1.2573161447386163,2.1253852975025573
model7,Model Size:25mm,Procedural,0.0017264281455699581,0.0012329106349222242,0.9938951742102148,2.1253852975025573
CT_LVOTScRCC,RCC LVOT Calcification,Radiomics,-0.0011014364515824048,0.00017146629149184512,0.634090898446034,2.1253852975025573
CABGPRE,CABG,Patient,0.0008380679957715742,0.0008767463211571689,0.4824711290734929,2.1253852975025573
model2,Model Size: 23mm,Procedural,-0.0007582731473948279,7.242691589572729e-05,0.43653367437432755,2.1253852975025573
model3,Model Size:26mm,Procedural,0.0007058880756146913,0.0015086767433825793,0.40637587708833345,2.1253852975025573
ECC_INDEX,Eccentricity Index,Patient,0.0006631989222523948,0.0004988755172448959,0.38179996663021304,2.1253852975025573
PQADM,PQ Interval,Electrocardiographic,-0.0006160686646439651,0.001625719418931454,0.3546673369192684,2.1253852975025573
CT_LVOTScTot,Total LVOT Calcification,Radiomics,-0.00044195264776023533,0.0005161966572980004,0.25442970503316864,2.1253852975025573
CT_AnnScRCC,RCC Annular Calcification,Radiomics,-0.00034295296248796345,0.000326449995308976,0.1974361315138044,2.1253852975025573
CT_LVOTScNCC,NCC LVOT Calcification,Radiomics,0.000328153066770831,0.0021384167565444237,0.18891591306751845,2.1253852975025573
CT_LVOTScLCC,LCC LVOT Calficication,Radiomics,-0.00028652223921126206,0.00023373253688585644,0.16494927494475245,2.1253852975025573
AGE,Age,Patient,-0.0002184420835866341,0.001316819729293029,0.12575590433826273,2.1253852975025573
LVEFPRE,LVEF,Patient,0.00021797794343543232,0.0010685200789218366,0.1254887014097074,2.1253852975025573
CT_AnnScTot,Total Annular Calcification,Radiomics,0.0002042097009286259,0.00029143995703916016,0.11756240003424344,2.1253852975025573
CT_AnnScNCC,NCC Annular Calcification,Radiomics,-0.00019877409102271316,0.0005094664379958359,0.11443314935083757,2.1253852975025573
CT_Area_Deri,Area-Derived Diameter,Patient,0.0001840710242258403,0.00029526003287389164,0.10596867478060983,2.1253852975025573
CT_AnnScLCC,LCC Annular Calcification,Radiomics,6.053693835301743e-05,0.00013624603155438052,0.034850781971387405,2.1253852975025573
PREDILATION,Predilation,Procedural,4.7515434624578746e-05,0.0002452073073336487,0.02735437399758037,2.1253852975025573
nyha3,NYHA Class:3,Patient,-1.4169047482948116e-05,0.0005396862946199555,0.008157042592588381,2.1253852975025573
NTPROBNPPRE,NT-proBNP,Patient,0.0,0.0,0.0,2.1253852975025573
model1,Model Size: 20mm,Procedural,0.0,0.0,0.0,2.1253852975025573
brand8,Brand: Evolut R,Procedural,0.0,0.0,0.0,2.1253852975025573
