feature,feature_pretty,group,importance_mean,repeat_std,fold_std,raw_mean,raw_fold_std
DM,Diabetes Mellitus,Patient,92.22731641918182,5.24474847698097,10.28808476666426,2.2151327173642033,0.24710111982521507
CT_ValScRCC,RCC Valvular Calcification,Radiomics,1.906305830371679,0.8740724552383732,0.9478654720489945,0.04578600547115326,0.022766007949884346
CT_ValScNCC,NCC Valvular Calcification,Radiomics,1.1818433425814074,0.48377326769752177,0.8768306596946165,0.028385731652999246,0.02105988070876598
CT_ValScLCC,LCC Valvular Calcification,Radiomics,0.9853992649270941,0.6123458117098283,1.017987892888854,0.02366750151859191,0.024450221203115775
CT_AnnMean,Mean Annulus Diameter,Patient,0.6446108159367394,0.4143476289350369,0.4525772107676881,0.015482381617376495,0.010870083025601652
model4,Model Size:29mm,Procedural,0.5167209021967275,0.20263898217421053,0.11142300469403413,0.012410698051752702,0.0026761783032152307
brand2,Brand: Sapien 3,Procedural,0.3819525319087272,0.2356658650466703,0.13284847562285143,0.009173806446515515,0.0031907792206229053
model2,Model Size: 23mm,Procedural,0.2675709563803685,0.08988962907960718,0.07129391356519099,0.00642656864264253,0.0017123503818478683
model8,Model Size:27mm,Procedural,0.24527338429974188,0.13647228659368837,0.043609186647591974,0.005891021438719877,0.0010474134982055257
LVEFPRE,LVEF,Patient,0.1908805351287307,0.11368726172460655,0.08776271277461418,-0.004584603942609107,0.002107901042551118
CT_Area_Deri,Area-Derived Diameter,Patient,0.18580990531107203,0.21527534858370326,0.23079817743890724,0.004462816619255934,0.005543353247201505
AFPRE,AF,Patient,0.1727039116700892,0.13421346213353613,0.05815644526272311,0.004148034443704416,0.0013968122420643801
CT_ValvScTot,Total Valvular Calcification,Radiomics,0.16835548818362117,0.1674990676998417,0.2909851490150575,0.004043593205383544,0.006988935045238847
brand8,Brand: Evolut R,Procedural,0.15232308116983298,0.08021540854779578,0.11291574349344868,-0.0036585238930235547,0.0027120311793634782
CT_Peri_Deri,Perimeter-Derived Diameter,Patient,0.13743222826122603,0.0790536701233346,0.04285919421091188,0.003300872637972478,0.0010294000413603231
PQADM,PQ Interval,Electrocardiographic,0.12580626451521476,0.10630036449265112,0.07356644401839194,0.0030216380937553434,0.0017669324379407953
QRSADM,QRS,Electrocardiographic,0.0898276251869561,0.048375796664486645,0.05920821083635258,-0.0021574964901978923,0.001422073741841245
BMI,BMI,Patient,0.062275417199816274,0.0630668714775787,0.011601920780858713,0.0014957424706995748,0.0002786570758400884
PREDILATION,Predilation,Procedural,0.059980076129549705,0.11042994189663055,0.04566750839632464,-0.0014406125449935314,0.001096850650076636
ECC_INDEX,Eccentricity Index,Patient,0.032828970189366445,0.015989692133297855,0.030226198859107066,-0.0007884922685304872,0.0007259784260668245
nyha4,NYHA Class:4,Patient,0.03234492489541386,0.08803365345116142,0.02426415886293246,0.0007768663792717433,0.000582781048429438
AGE,Age,Patient,0.031670217152474006,0.028287931773862296,0.056122490589826365,-0.0007606611241036099,0.0013479603431205626
CT_LVOTScTot,Total LVOT Calcification,Radiomics,0.02889426646751731,0.032780587006349005,0.01958598424593829,0.0006939878279178148,0.00047041978656048436
model7,Model Size:25mm,Procedural,0.028664615515455204,0.05685888753874844,0.09017499288175708,-0.0006884720289415712,0.002165839631639976
CT_LVOTScRCC,RCC LVOT Calcification,Radiomics,0.026945830535838433,0.013955165352339668,0.026894025931029658,0.000647189933893304,0.0006459456813282563
CT_AnnScRCC,RCC Annular Calcification,Radiomics,0.020622837674688952,0.013604138833369642,0.008316650430257505,0.0004953231236878254,0.00019975084586883733
CT_LVOTScLCC,LCC LVOT Calficication,Radiomics,0.019961654114826057,0.027999797604405692,0.022148256494744813,0.0004794426948463437,0.0005319609146068514
model3,Model Size:26mm,Procedural,0.01372499600842176,0.05656554872389226,0.028253962827573142,-0.0003296494887237645,0.0006786088968488335
nyha2,NYHA Class:2,Patient,0.011325428308964608,0.02460662582159966,0.008302891463064496,-0.00027201622859030167,0.00019942038045392874
CT_AnnScTot,Total Annular Calcification,Radiomics,0.009658960887535114,0.020827586008429894,0.0028124113967969246,0.00023199070631605423,6.754901629596927e-05
CT_AnnScNCC,NCC Annular Calcification,Radiomics,0.008801865263215674,0.01718239552227086,0.016721442665210615,-0.00021140482533139605,0.000401618697879991
CABGPRE,CABG,Patient,0.00833566338812007,0.030746741724404468,0.0247970623128047,0.00020020750260190122,0.0005955804218996905
NTPROBNPPRE,NT-proBNP,Patient,0.006484104851738954,0.010159009726819324,0.004350046538312604,0.00015573642774799004,0.00010448022107980391
nyha3,NYHA Class:3,Patient,0.005519535411653066,0.016459021711842915,0.01082953738784835,0.00013256922080907564,0.00026010582887081005
SEX,Sex,Patient,0.005228856099714472,0.04335011623952718,0.02283377785169723,-0.0001255876314152182,0.0005484258931532875
CT_AnnScLCC,LCC Annular Calcification,Radiomics,0.005109205948861628,0.011051344448167846,0.007151678448830982,0.00012271385199625451,0.0001717703336836885
CT_LVOTScNCC,NCC LVOT Calcification,Radiomics,0.0014900867457833184,0.057591733034953574,0.0362999886772819,3.5789178634377824e-05,0.00087185983156584
model1,Model Size: 20mm,Procedural,0.0,0.0,0.0,0.0,0.0
