feature,feature_pretty,group,raw_delta_log_loss,repeat_std_raw,importance_percent,baseline_test_log_loss
DM,Diabetes Mellitus,Patient,2.070815448980301,0.13215331472832817,93.90465832759061,0.2614333051985362
CT_ValScRCC,RCC Valvular Calcification,Radiomics,0.02786278955949345,0.011821476838931196,1.2634857128027348,0.2614333051985362
model4,Model Size:29mm,Procedural,0.011316536716223536,0.0056285228759022045,0.513167657847966,0.2614333051985362
CT_ValScLCC,LCC Valvular Calcification,Radiomics,0.010375779659225726,0.0038103403341319974,0.4705074246291393,0.2614333051985362
model2,Model Size: 23mm,Procedural,0.008945265859092699,0.0016362530400376967,0.40563833660850374,0.2614333051985362
CT_ValScNCC,NCC Valvular Calcification,Radiomics,0.007846456829069903,0.006889021179591488,0.3558109671138581,0.2614333051985362
CT_Area_Deri,Area-Derived Diameter,Patient,0.007351956641160495,0.0046156254838254215,0.3333870127187777,0.2614333051985362
brand2,Brand: Sapien 3,Procedural,0.007106233054702071,0.003459995618224653,0.322244257607128,0.2614333051985362
CT_AnnMean,Mean Annulus Diameter,Patient,0.006899499090086003,0.005120851926074269,0.3128695533950556,0.2614333051985362
model8,Model Size:27mm,Procedural,0.006323988968642069,0.003457060064200435,0.2867720654007129,0.2614333051985362
PQADM,PQ Interval,Electrocardiographic,0.005977614084274996,0.0032908501384819287,0.2710651055237403,0.2614333051985362
AFPRE,AF,Patient,0.005683796733263291,0.00416096743588811,0.2577414566340925,0.2614333051985362
LVEFPRE,LVEF,Patient,-0.004934066949128702,0.00385804501066611,0.2237436809019072,0.2614333051985362
QRSADM,QRS,Electrocardiographic,-0.0038319910261678026,0.001105928853513134,0.17376816857526925,0.2614333051985362
CT_Peri_Deri,Perimeter-Derived Diameter,Patient,0.002866736817823079,0.0012250312806578471,0.12999707024851417,0.2614333051985362
CT_ValvScTot,Total Valvular Calcification,Radiomics,0.0025258662277152567,0.006176206313859412,0.11453971198234848,0.2614333051985362
brand8,Brand: Evolut R,Procedural,-0.002514626160464539,0.0010471995960366755,0.11403001196283323,0.2614333051985362
BMI,BMI,Patient,0.0015779634247003016,0.0022080832595265556,0.07155544272324295,0.2614333051985362
model7,Model Size:25mm,Procedural,-0.001306338029711962,0.0010938341378041421,0.05923812592804673,0.2614333051985362
CT_LVOTScTot,Total LVOT Calcification,Radiomics,0.0011656601556751633,0.0011025741268424396,0.052858847802522625,0.2614333051985362
CT_LVOTScLCC,LCC LVOT Calficication,Radiomics,0.001127683870072893,0.0006848840716596464,0.051136748363005594,0.2614333051985362
CT_LVOTScRCC,RCC LVOT Calcification,Radiomics,0.0010254603024553387,0.0003078763792833472,0.04650124634621283,0.2614333051985362
nyha4,NYHA Class:4,Patient,0.0009669636865730858,0.0026419333695186413,0.043848617532550004,0.2614333051985362
model3,Model Size:26mm,Procedural,-0.0007634056149483315,0.0012743988793603792,0.03461792960468164,0.2614333051985362
CABGPRE,CABG,Patient,0.0007101179763192355,0.0006508508681013873,0.03220151074851878,0.2614333051985362
ECC_INDEX,Eccentricity Index,Patient,-0.0007100670560361122,0.0006310937760612502,0.032199201681435564,0.2614333051985362
CT_AnnScRCC,RCC Annular Calcification,Radiomics,0.000530088852887689,0.0006029184273869379,0.024037783105295155,0.2614333051985362
SEX,Sex,Patient,-0.0005218354310616901,0.0012519044909846734,0.023663517616313245,0.2614333051985362
PREDILATION,Predilation,Procedural,-0.0005073894243145749,0.004629339920295038,0.02300843880257641,0.2614333051985362
CT_LVOTScNCC,NCC LVOT Calcification,Radiomics,0.0003324540337662163,0.001346645648260528,0.01507569516434624,0.2614333051985362
CT_AnnScNCC,NCC Annular Calcification,Radiomics,0.00026413865031136294,0.0003022051378937429,0.011977817589111206,0.2614333051985362
CT_AnnScTot,Total Annular Calcification,Radiomics,0.00024696055198080157,0.0005586557257995795,0.01119884742291729,0.2614333051985362
AGE,Age,Patient,8.613145536043865e-05,0.0009699370304496508,0.003905777741257837,0.2614333051985362
CT_AnnScLCC,LCC Annular Calcification,Radiomics,-6.778495545735063e-05,0.0003987461483193092,0.0030738244130387553,0.2614333051985362
NTPROBNPPRE,NT-proBNP,Patient,6.261978292267933e-05,0.00013360421465071146,0.0028396008552078523,0.2614333051985362
nyha2,NYHA Class:2,Patient,-4.859361020308484e-05,0.0009470769905593118,0.0022035601314794955,0.2614333051985362
nyha3,NYHA Class:3,Patient,3.155565258772253e-05,0.0004349195166407446,0.0014309448850274742,0.2614333051985362
model1,Model Size: 20mm,Procedural,0.0,0.0,0.0,0.2614333051985362
