feature,feature_pretty,group,importance_mean,repeat_std,fold_std,raw_mean,raw_fold_std
DM,Diabetes Mellitus,Patient,80.22157280126666,7.583125792291676,43.00315226708163,0.9724208779748018,0.5212707956603332
CT_Area_Deri,Area-Derived Diameter,Patient,10.890619511584074,0.9275096048972683,20.075313552626255,0.13201269206450758,0.24334668778964685
CT_Peri_Deri,Perimeter-Derived Diameter,Patient,4.180038214166208,1.0917266585215444,3.000059204291194,0.050669119144015916,0.03636578171610175
CABGPRE,CABG,Patient,1.1729709274197224,0.5333471989824154,2.913929093907034,0.014218387638772326,0.03532173938889237
CT_AnnScTot,Total Annular Calcification,Radiomics,0.5210371674984817,0.2414839973418418,0.8764330079343707,-0.006315849991267904,0.010623847492655747
SEX,Sex,Patient,0.4649929592485515,0.28732209938563796,0.6148928454147288,-0.005636499583531454,0.007453539237879086
CT_AnnScRCC,RCC Annular Calcification,Radiomics,0.20107501899554403,0.10244025548894296,0.2670453349702289,-0.00243736864888991,0.0032370402377192593
QRSADM,QRS,Electrocardiographic,0.1866650793798272,0.5238202930001558,0.12673223795476168,-0.0022626958564804104,0.0015362086505705484
CT_AnnScLCC,LCC Annular Calcification,Radiomics,0.18234899829229936,0.4343836791016133,0.5697818236843278,0.0022103776680681532,0.006906717506197403
BMI,BMI,Patient,0.17246027193416463,0.07852207418468643,0.2830624653793735,-0.002090509612239184,0.003431194895515389
PQADM,PQ Interval,Electrocardiographic,0.17155318051136584,0.1102120481403464,0.29554430309950996,-0.0020795141330063526,0.0035824958382757936
model7,Model Size:25mm,Procedural,0.17022355944049614,0.04219704406764072,0.3856020104655457,0.0020633968812003834,0.0046741472707679714
CT_AnnScNCC,NCC Annular Calcification,Radiomics,0.15903555103471786,0.12763963155343855,0.31455410653190535,-0.0019277793337398254,0.0038129267448057946
CT_AnnMean,Mean Annulus Diameter,Patient,0.14083440785860502,0.05469783189034246,0.21371490240155364,-0.0017071507545506968,0.0025905853721473844
model2,Model Size: 23mm,Procedural,0.1238714335394692,0.13913557719901115,0.3120768706466838,0.001501530871961987,0.0037828984642530633
NTPROBNPPRE,NT-proBNP,Patient,0.1199371199108024,0.2370022253639098,0.6047729478643117,-0.0014538403495822517,0.007330868996978046
AGE,Age,Patient,0.11373312845435064,0.0951397617116688,0.26187530778763624,-0.0013786375006680784,0.0031743707811566846
nyha4,NYHA Class:4,Patient,0.1041572086472337,0.13422939877053447,0.1985476830689227,-0.0012625611882611755,0.002406733071265539
ECC_INDEX,Eccentricity Index,Patient,0.09033681477053114,0.10820389868907308,0.07170208420418062,-0.001095034685373557,0.0008691502951105387
model4,Model Size:29mm,Procedural,0.07129156769143587,0.08799069115404816,0.08751821207362595,0.0008641741420159676,0.0010608684628291966
model8,Model Size:27mm,Procedural,0.06583116878672703,0.1275175655813827,0.12256673747378187,-0.0007979848900280561,0.0014857157532927366
nyha3,NYHA Class:3,Patient,0.0639343433259305,0.03165354772145824,0.11804736844024023,-0.0007749921635637902,0.0014309333718206634
CT_LVOTScLCC,LCC LVOT Calficication,Radiomics,0.06284082326898568,0.13349493948718175,0.061875595222000854,-0.0007617368545898362,0.0007500366613360824
CT_ValScNCC,NCC Valvular Calcification,Radiomics,0.05722747905942423,0.0922359395260534,0.028383294099090524,0.0006936936473323697,0.0003440534360505435
nyha2,NYHA Class:2,Patient,0.04542948863501255,0.19142072317083014,0.059146753267678,-0.0005506820881440967,0.0007169584905097532
CT_ValvScTot,Total Valvular Calcification,Radiomics,0.04479721284713881,0.09365538865949229,0.10522934127096258,-0.0005430178383008589,0.0012755572454421359
brand2,Brand: Sapien 3,Procedural,0.03806562475473195,0.074229061348465,0.06774352701866698,-0.0004614196275652094,0.0008211658998982096
CT_ValScLCC,LCC Valvular Calcification,Radiomics,0.028375235652386616,0.0949813974606934,0.18992454262686367,0.00034395575407367255,0.0023022060530738103
LVEFPRE,LVEF,Patient,0.022168319298859013,0.0857858551057276,0.10174337182647838,-0.00026871745046965536,0.0012333014113886666
CT_LVOTScNCC,NCC LVOT Calcification,Radiomics,0.019696166323590534,0.04563098908130326,0.019236830524916638,0.00023875078336560882,0.0002331828581176427
model3,Model Size:26mm,Procedural,0.019226879846995597,0.04481609647065407,0.03094838729761597,0.0002330622391042958,0.00037514669554542494
AFPRE,AF,Patient,0.018245250335109185,0.015873507902409247,0.024521135496326518,-0.0002211632324099333,0.00029723755438388033
CT_ValScRCC,RCC Valvular Calcification,Radiomics,0.016425940270423055,0.06404269436891477,0.11992453967757088,-0.00019911012339406836,0.0014536878559197996
brand8,Brand: Evolut R,Procedural,0.014850444324314318,0.027476344902821342,0.04065344740879524,-0.00018001245305848237,0.0004927884064289862
PREDILATION,Predilation,Procedural,0.013436285560011599,0.043753380461674644,0.030910972816266015,-0.0001628704617067833,0.00037469316887506877
CT_LVOTScTot,Total LVOT Calcification,Radiomics,0.006659036420893721,0.05712214913548197,0.02358820568846988,-8.071876200823392e-05,0.0002859288703084356
CT_LVOTScRCC,RCC LVOT Calcification,Radiomics,0.004035379644946533,0.0503534286407775,0.01278527074338302,4.8915613098508e-05,0.00015497906320318067
model1,Model Size: 20mm,Procedural,0.0,0.0,0.0,0.0,0.0
