feature,feature_pretty,group,raw_delta_log_loss,repeat_std_raw,importance_percent,baseline_test_log_loss
DM,Diabetes Mellitus,Patient,0.84806432725811,0.0635308114888503,78.48903485381864,0.8483680980285369
CABGPRE,CABG,Patient,-0.05525327661789048,0.007691625477095435,5.113735143500951,0.8483680980285369
PQADM,PQ Interval,Electrocardiographic,0.037769944101257336,0.05013651699024295,3.495638672334003,0.8483680980285369
LVEFPRE,LVEF,Patient,0.03234944676265641,0.03151433330360946,2.993967288619507,0.8483680980285369
CT_Peri_Deri,Perimeter-Derived Diameter,Patient,0.017621010594929664,0.00521974959750026,1.6308386879289245,0.8483680980285369
nyha3,NYHA Class:3,Patient,-0.01740913330221827,0.008233693834180383,1.6112292742584733,0.8483680980285369
QRSADM,QRS,Electrocardiographic,-0.012779859346166812,0.0028102047425801837,1.1827862502969044,0.8483680980285369
CT_ValScNCC,NCC Valvular Calcification,Radiomics,-0.012052090002186877,0.0027629912560254064,1.1154306127948963,0.8483680980285369
PREDILATION,Predilation,Procedural,-0.008964274896908497,0.019996197849793167,0.8296508439371267,0.8483680980285369
CT_Area_Deri,Area-Derived Diameter,Patient,0.007003806633961163,0.004842615446120916,0.6482079310890234,0.8483680980285369
nyha2,NYHA Class:2,Patient,-0.0061297550761625795,0.011817301026108699,0.5673137571695869,0.8483680980285369
CT_ValScLCC,LCC Valvular Calcification,Radiomics,-0.0037328750727010805,0.001672337616313543,0.34548058710764984,0.8483680980285369
model3,Model Size:26mm,Procedural,0.002284399872220999,0.0026858876915185404,0.21142304354495323,0.8483680980285369
model4,Model Size:29mm,Procedural,0.002228376230666651,0.0014671343763299053,0.20623801050764362,0.8483680980285369
model2,Model Size: 23mm,Procedural,-0.0020485317367512136,0.001555989129364637,0.18959325810208702,0.8483680980285369
ECC_INDEX,Eccentricity Index,Patient,0.0018073900714045354,0.0015397478271856901,0.1672754032321665,0.8483680980285369
CT_LVOTScRCC,RCC LVOT Calcification,Radiomics,0.001535566691489798,0.0007744129599796725,0.14211793102815382,0.8483680980285369
CT_ValScRCC,RCC Valvular Calcification,Radiomics,-0.001314504214184531,0.00048066884539826557,0.12165842114382426,0.8483680980285369
SEX,Sex,Patient,-0.0012874872677691497,0.0007593952144450473,0.11915798104667202,0.8483680980285369
CT_AnnScLCC,LCC Annular Calcification,Radiomics,-0.0012869018254877628,0.0002646786758853359,0.11910379789316382,0.8483680980285369
AFPRE,AF,Patient,0.0012709125836711578,0.0006129487817612997,0.11762398071669189,0.8483680980285369
CT_AnnScNCC,NCC Annular Calcification,Radiomics,0.0008093390942981227,0.0007844961836713629,0.07490498343009497,0.8483680980285369
nyha4,NYHA Class:4,Patient,-0.0007966058454457637,0.00026879847825009046,0.07372651101844856,0.8483680980285369
NTPROBNPPRE,NT-proBNP,Patient,-0.0007663820402759924,0.0016178675892705161,0.07092927356706924,0.8483680980285369
CT_AnnScTot,Total Annular Calcification,Radiomics,0.0006815954223383658,0.0014750712668820775,0.06308220395625376,0.8483680980285369
CT_LVOTScLCC,LCC LVOT Calficication,Radiomics,-0.0005699276399782072,0.0005554895539887099,0.05274726098081651,0.8483680980285369
CT_ValvScTot,Total Valvular Calcification,Radiomics,-0.0005418858844030705,0.0010057388721344894,0.050151973972559535,0.8483680980285369
CT_LVOTScTot,Total LVOT Calcification,Radiomics,0.00038629384845150215,0.0003937888962437656,0.03575180603687601,0.8483680980285369
model8,Model Size:27mm,Procedural,-0.0003327208046239871,0.00023216189380117046,0.03079357778808515,0.8483680980285369
model7,Model Size:25mm,Procedural,-0.00030408445973872933,0.00046787600240462873,0.028143261061461537,0.8483680980285369
CT_LVOTScNCC,NCC LVOT Calcification,Radiomics,0.000278033566142577,0.0009037890796849204,0.02573222992889132,0.8483680980285369
brand2,Brand: Sapien 3,Procedural,0.00025795559557553196,0.0008202056611677186,0.023873997621531085,0.8483680980285369
BMI,BMI,Patient,0.00020583637921274268,0.0004949036725445111,0.019050322272659057,0.8483680980285369
brand8,Brand: Evolut R,Procedural,0.00014050837228154477,0.00017095796549447553,0.013004162744252524,0.8483680980285369
CT_AnnScRCC,RCC Annular Calcification,Radiomics,-0.00011570634436681715,0.0008589399599654241,0.010708715133882796,0.8483680980285369
AGE,Age,Patient,6.462243648346356e-05,0.0008041538670392515,0.005980858416587464,0.8483680980285369
CT_AnnMean,Mean Annulus Diameter,Patient,-4.228090793578776e-05,0.0009896337071850694,0.003913131999494095,0.8483680980285369
model1,Model Size: 20mm,Procedural,0.0,0.0,0.0,0.8483680980285369
