feature,feature_pretty,group,importance_mean,repeat_std,fold_std,raw_mean,raw_fold_std
DM,Diabetes Mellitus,Patient,84.2318975654251,5.897890797737513,9.112537348462812,1.8907496804751058,0.20454872296496596
CT_Area_Deri,Area-Derived Diameter,Patient,3.8432260774720928,0.3312931511464264,1.7503395998014626,0.08626872583904233,0.03928979560833236
CT_Peri_Deri,Perimeter-Derived Diameter,Patient,3.8347480807803156,0.5684215904421323,2.680830418088886,0.0860784206221428,0.060176481866296
CT_ValScLCC,LCC Valvular Calcification,Radiomics,1.5487784194860121,0.6402649373381617,1.176742736303967,0.03476536070549034,0.026414292174054013
CT_ValScRCC,RCC Valvular Calcification,Radiomics,1.4727712634764252,0.5262117503068324,0.7997807812761631,0.033059231435075595,0.017952643836303017
CT_ValScNCC,NCC Valvular Calcification,Radiomics,1.2330666759939797,0.4945536043632063,0.6558562015526038,0.027678593158004583,0.014721975158638871
model4,Model Size:29mm,Procedural,1.00956428076754,0.2457702689947684,0.3080264189013825,0.022661644774150624,0.006914255406193529
PREDILATION,Predilation,Procedural,0.4710816793994456,0.49063783013548984,0.11316992829930002,0.01057434962937111,0.0025403203769105574
brand2,Brand: Sapien 3,Procedural,0.4174931488153566,0.19771663639537954,0.1873226632301459,0.009371450252679554,0.004204823539361004
model2,Model Size: 23mm,Procedural,0.2710558999641011,0.15061651198187975,0.07788928510937253,0.00608437980219958,0.0017483773391023605
BMI,BMI,Patient,0.20431457043757761,0.039503297809381,0.0398971974950495,0.004586240129176755,0.0008955706281818503
CT_ValvScTot,Total Valvular Calcification,Radiomics,0.1839915570824509,0.18845318504680597,0.1532021586057082,0.00413005034694312,0.003438922080638721
AFPRE,AF,Patient,0.17593847178912286,0.10345491406963836,0.043981515300513745,0.003949283097417819,0.000987251129379655
brand8,Brand: Evolut R,Procedural,0.17240975269162095,0.06493791273885112,0.1268323367752553,-0.003870074095852754,0.002846999855909215
LVEFPRE,LVEF,Patient,0.15081192434901655,0.09847797651913154,0.04852505988170014,-0.0033852685979590728,0.0010892398737081318
model7,Model Size:25mm,Procedural,0.1472921685178181,0.11325537503544843,0.07774897692759998,0.003306260794436426,0.0017452278475496097
model8,Model Size:27mm,Procedural,0.1318261825247079,0.07435251265604982,0.028552070742354517,0.0029590964906524306,0.0006409070695703847
CT_LVOTScTot,Total LVOT Calcification,Radiomics,0.07901834331524905,0.06296949766092214,0.042529514511445085,0.0017737212587302035,0.0009546581318652779
PQADM,PQ Interval,Electrocardiographic,0.05517926613759079,0.1117486044417639,0.07431527415140947,0.0012386065473292307,0.00166815167314803
CT_AnnMean,Mean Annulus Diameter,Patient,0.04331972081253974,0.30125762351512303,0.1263681937735694,0.0009723958577682667,0.002836581258471697
NTPROBNPPRE,NT-proBNP,Patient,0.042090469016379424,0.05347431001241632,0.05221468292486585,-0.0009448028970492196,0.0011720606790274063
SEX,Sex,Patient,0.039012633400238125,0.03088392691290014,0.018247808222866854,0.0008757148570551785,0.00040960774438160896
CT_AnnScRCC,RCC Annular Calcification,Radiomics,0.03506634295388315,0.019100545809830647,0.011559385963366774,0.0007871326498846453,0.00025947302564029384
model3,Model Size:26mm,Procedural,0.030879179011828174,0.06815273016071709,0.039720541496306015,-0.0006931435660059626,0.0008916052387886124
CT_AnnScTot,Total Annular Calcification,Radiomics,0.029024280707621912,0.027299449532390267,0.0222576805855177,0.0006515067457827483,0.000499617172016065
nyha4,NYHA Class:4,Patient,0.027858308797020243,0.08319458577760479,0.044248039391719514,0.0006253342258570194,0.0009932337838710228
QRSADM,QRS,Electrocardiographic,0.025712800809103244,0.061974127736256594,0.05420222136145231,-0.0005771741029123834,0.0012166748664376916
CABGPRE,CABG,Patient,0.02209669122995431,0.10122999809283191,0.026252570846080757,-0.0004960034510696154,0.0005892902970673656
ECC_INDEX,Eccentricity Index,Patient,0.021345495897207887,0.024632761554165567,0.033248631688382234,-0.0004791414026483331,0.0007463305654750854
CT_LVOTScLCC,LCC LVOT Calficication,Radiomics,0.018551170164067748,0.02955807406575046,0.011691207390530561,0.0004164172964630919,0.00026243201538756996
CT_LVOTScNCC,NCC LVOT Calcification,Radiomics,0.007728108592020468,0.03811702535216734,0.0349510184835711,0.00017347251187936453,0.000784543966598434
AGE,Age,Patient,0.00679634032922286,0.05943931457165216,0.04106815844661167,0.00015255715088096088,0.0009218551368894376
CT_AnnScNCC,NCC Annular Calcification,Radiomics,0.005591515418134925,0.04355649332513696,0.015951359767157232,0.00012551249937113872,0.00035805946743001866
nyha3,NYHA Class:3,Patient,0.004671114578809186,0.03991710978529666,0.019387564552006235,0.00010485230242481603,0.00043519180430933325
nyha2,NYHA Class:2,Patient,0.00220877972164168,0.026849955188395967,0.012182271388745409,-4.958038075409733e-05,0.00027345490724390475
CT_LVOTScRCC,RCC LVOT Calcification,Radiomics,0.0020726156379622896,0.022342992958503952,0.024174779741978677,4.6523911588018966e-05,0.0005426502120197316
CT_AnnScLCC,LCC Annular Calcification,Radiomics,0.0015091044968595564,0.013570576108825535,0.0037620446401045544,3.387480191841208e-05,8.444644970375805e-05
model1,Model Size: 20mm,Procedural,0.0,0.0,0.0,0.0,0.0
