feature,feature_pretty,group,raw_delta_log_loss,repeat_std_raw,importance_percent,baseline_test_log_loss
DM,Diabetes Mellitus,Patient,1.7320419125093083,0.08118245277217617,85.42567402847573,0.3864997136242907
CT_Peri_Deri,Perimeter-Derived Diameter,Patient,0.07496523822686435,0.010535277936160107,3.697344710877905,0.3864997136242907
CT_Area_Deri,Area-Derived Diameter,Patient,0.06623740587160291,0.0034693004341633652,3.2668811312318553,0.3864997136242907
CT_ValScRCC,RCC Valvular Calcification,Radiomics,0.026210241762107334,0.011076417591197502,1.2927098084673454,0.3864997136242907
CT_ValScNCC,NCC Valvular Calcification,Radiomics,0.023363628826299266,0.011284812912768902,1.152312611965742,0.3864997136242907
model4,Model Size:29mm,Procedural,0.02060496788423396,0.004982354070446886,1.0162532772060284,0.3864997136242907
CT_ValScLCC,LCC Valvular Calcification,Radiomics,0.02012805572880827,0.00795484768842207,0.9927315933279577,0.3864997136242907
brand2,Brand: Sapien 3,Procedural,0.011183584378124911,0.002558846728955762,0.5515832074592004,0.3864997136242907
PREDILATION,Predilation,Procedural,0.009966426988181575,0.011777868980717646,0.4915520444234209,0.3864997136242907
model2,Model Size: 23mm,Procedural,0.006302274329433521,0.003971586501751147,0.3108331435953777,0.3864997136242907
model7,Model Size:25mm,Procedural,0.00425663525394433,0.0026959104960555687,0.20994061000219136,0.3864997136242907
BMI,BMI,Patient,0.004063474166090897,0.0006549384032073933,0.2004137527092017,0.3864997136242907
LVEFPRE,LVEF,Patient,-0.0038629823170775123,0.0009898003878917234,0.19052533649046785,0.3864997136242907
AFPRE,AF,Patient,0.0036946476835669983,0.0015767769414119924,0.18222293951836524,0.3864997136242907
model8,Model Size:27mm,Procedural,0.002859131703097373,0.002177910561522139,0.1410146319839499,0.3864997136242907
brand8,Brand: Evolut R,Procedural,-0.0024842983843881396,0.0009928397475312987,0.12252755689194075,0.3864997136242907
CT_LVOTScTot,Total LVOT Calcification,Radiomics,0.0019868044512287965,0.000769533271125999,0.09799076349319212,0.3864997136242907
CT_ValvScTot,Total Valvular Calcification,Radiomics,0.001797855934961534,0.0022071334827540733,0.08867167355533558,0.3864997136242907
PQADM,PQ Interval,Electrocardiographic,0.0017197641479753222,0.0023651507930456993,0.08482012499221762,0.3864997136242907
CT_AnnMean,Mean Annulus Diameter,Patient,0.0015736540269115195,0.006619073862145509,0.07761385851326458,0.3864997136242907
SEX,Sex,Patient,0.0014087606757293369,0.0009150999047882203,0.06948118830140769,0.3864997136242907
nyha4,NYHA Class:4,Patient,0.0012121174540942969,0.002282919837281887,0.05978258942225731,0.3864997136242907
CT_AnnScTot,Total Annular Calcification,Radiomics,0.0008778128667616292,0.00039287468755134277,0.04329442334645452,0.3864997136242907
model3,Model Size:26mm,Procedural,-0.0007453139325639846,0.0007461080478288649,0.03675947134550078,0.3864997136242907
CT_AnnScRCC,RCC Annular Calcification,Radiomics,0.0006788052900780772,0.00018278773167552983,0.03347921261039525,0.3864997136242907
NTPROBNPPRE,NT-proBNP,Patient,-0.0006554564193346213,0.0005522353265321055,0.03232762787872221,0.3864997136242907
ECC_INDEX,Eccentricity Index,Patient,-0.0004599557512030006,0.0002820622783663038,0.02268538064004791,0.3864997136242907
nyha3,NYHA Class:3,Patient,-0.000407819010381838,0.0006250379829944265,0.02011395543715356,0.3864997136242907
AGE,Age,Patient,0.00037360642110453315,0.0009595508387033493,0.018426563533894717,0.3864997136242907
QRSADM,QRS,Electrocardiographic,-0.0003481329522311838,0.0011971214309179695,0.017170191945751888,0.3864997136242907
CT_LVOTScLCC,LCC LVOT Calficication,Radiomics,0.00034407326202423594,0.00023942871975278306,0.016969964820893867,0.3864997136242907
CT_LVOTScNCC,NCC LVOT Calcification,Radiomics,0.00024473248312189,0.0009220988087884495,0.012070399207061717,0.3864997136242907
CT_AnnScLCC,LCC Annular Calcification,Radiomics,0.00016714731456526354,0.0002251329870227073,0.008243837464707172,0.3864997136242907
CABGPRE,CABG,Patient,0.00012561716535381963,0.0014107831616380808,0.00619553773057952,0.3864997136242907
CT_AnnScNCC,NCC Annular Calcification,Radiomics,-0.00010714765222399336,0.0004059677031689963,0.00528460676713223,0.3864997136242907
nyha2,NYHA Class:2,Patient,-8.036081788925786e-05,0.0002097767946087456,0.0039634589579439815,0.3864997136242907
CT_LVOTScRCC,RCC LVOT Calcification,Radiomics,-2.7328315632457744e-06,0.0003790053075705533,0.0001347854094121459,0.3864997136242907
model1,Model Size: 20mm,Procedural,0.0,0.0,0.0,0.3864997136242907
