feature,feature_pretty,group,importance_mean,repeat_std,fold_std,raw_mean,raw_fold_std
model4,Model Size:29mm,Procedural,24.655517628060515,7.24713803903261,9.587643352734423,0.049167941125027606,0.01911964254842905
model7,Model Size:25mm,Procedural,10.999635566052362,4.398292443675918,2.52065414001511,0.021935432144117823,0.0050266790672351905
CT_Peri_Deri,Perimeter-Derived Diameter,Patient,6.393584850673945,2.6694235514119615,4.94233276849461,0.01275006301867423,0.009855981539202151
brand2,Brand: Sapien 3,Procedural,5.9484265941778895,12.830766012612603,3.7151904902211137,0.011862330086966976,0.007408818993260919
CT_AnnMean,Mean Annulus Diameter,Patient,5.5939406507497065,15.50664701303709,3.081237582120708,-0.011155415543169673,0.0061445924727823575
CT_ValScLCC,LCC Valvular Calcification,Radiomics,5.293434933205667,3.131073187708619,2.3173693352399893,0.010556148164125733,0.00462128926915525
model2,Model Size: 23mm,Procedural,3.94091531248711,4.325512295556305,1.61851246131902,0.007858958590370845,0.003227631502560226
CT_Area_Deri,Area-Derived Diameter,Patient,3.7865857084856147,0.7492878724172954,1.8521155830896532,0.0075511950707455935,0.0036934819751039106
nyha4,NYHA Class:4,Patient,3.4607071423403095,2.2177185184564077,1.887084379968489,-0.006901329251830268,0.003763216619173799
BMI,BMI,Patient,3.4416608573942384,1.9911544638087688,2.1931794404123344,0.006863347221559968,0.004373630244943158
DM,Diabetes Mellitus,Patient,3.4415258473634593,7.997381773289965,1.8702798324406145,0.006863077985061072,0.003729705053286295
CT_ValvScTot,Total Valvular Calcification,Radiomics,3.265842926244256,2.474716940338524,2.6769211146899394,0.006512731760229396,0.0053383060842179435
PQADM,PQ Interval,Electrocardiographic,2.7540979980891267,3.0423709253246476,2.63454475722642,-0.005492211936710194,0.0052537993105094835
PREDILATION,Predilation,Procedural,2.545940332065629,6.807028328580797,7.232463619313058,-0.0050771046969368796,0.014422951924504436
CT_ValScRCC,RCC Valvular Calcification,Radiomics,1.37028782785406,2.9238249983996525,3.6655726567945175,-0.0027326228660310738,0.007309871295245698
model3,Model Size:26mm,Procedural,1.3555763802583642,0.9275566023243239,1.788949902080496,-0.0027032853522071547,0.0035675172100630066
nyha2,NYHA Class:2,Patient,1.3461446003943467,0.8865182637334211,0.6484001180823022,-0.002684476532045519,0.0012930370926404033
model8,Model Size:27mm,Procedural,1.3221181303018257,3.9421234094738926,1.163871712085909,-0.0026365630351653383,0.0023209886192694213
CT_LVOTScTot,Total LVOT Calcification,Radiomics,1.3147804309611348,2.8982715625463444,1.3833413953261058,0.0026219302225584905,0.0027586542415073147
NTPROBNPPRE,NT-proBNP,Patient,1.2912485911555256,2.2159805716804786,3.0457377087099746,-0.0025750031155482135,0.0060737987578770025
AGE,Age,Patient,0.9382179401145718,1.2824048410719653,0.0936552455991033,0.0018709907103916154,0.0001867669408175773
QRSADM,QRS,Electrocardiographic,0.9179052478564785,1.2947213678481098,0.5072806206268771,-0.0018304832153917914,0.0010116171181278814
LVEFPRE,LVEF,Patient,0.6439590280683718,1.6456617273587808,0.6498504565100056,0.0012841806875293882,0.0012959293521135333
CT_ValScNCC,NCC Valvular Calcification,Radiomics,0.6367806146231653,1.165712727514663,0.8378875226467837,0.0012698655222601208,0.0016709121667762366
CT_LVOTScRCC,RCC LVOT Calcification,Radiomics,0.5540125886972566,0.4386085020240297,0.4508116536647829,-0.0011048098342331825,0.000899006915216405
CT_AnnScNCC,NCC Annular Calcification,Radiomics,0.516844345899253,0.3876326732543395,0.1790004553410455,0.0010306890633298327,0.0003569620391804356
CT_LVOTScNCC,NCC LVOT Calcification,Radiomics,0.4678087656465501,0.5011585698973516,0.4062677023286084,-0.0009329024924183173,0.0008101775339066197
CT_AnnScTot,Total Annular Calcification,Radiomics,0.4304806787138171,0.4724848192040927,0.5672245995717571,0.0008584629609387707,0.0011311571769505523
SEX,Sex,Patient,0.3305955838414,1.483155277833576,0.6362622019560505,0.0006592724779790693,0.0012688317056564833
ECC_INDEX,Eccentricity Index,Patient,0.22651876268056753,0.7389760530544097,0.35988287448305145,0.00045172287011799203,0.000717677083540521
nyha3,NYHA Class:3,Patient,0.22224024034961928,1.2313833171434714,0.4082613748585515,-0.0004431906568729227,0.0008141533082161911
CT_AnnScLCC,LCC Annular Calcification,Radiomics,0.17211897092786022,0.3206692921206624,0.35103155918457596,0.0003432390086773074,0.0007000258236465005
CABGPRE,CABG,Patient,0.14273213058762899,1.4689804726323266,0.6245554968499243,-0.00028463588147892966,0.001245486238077616
CT_AnnScRCC,RCC Annular Calcification,Radiomics,0.1204148749670828,0.42197203623895446,0.04099966260709051,0.00024013089371203834,8.176137396998534e-05
AFPRE,AF,Patient,0.11661361181989403,1.8224532114695255,0.6739695324802202,0.00023255042894787525,0.0013440275232889753
CT_LVOTScLCC,LCC LVOT Calficication,Radiomics,0.04078430689138721,0.6150009673495966,0.24414608614262606,-8.13319124064371e-05,0.0004868752126990263
model1,Model Size: 20mm,Procedural,0.0,0.0,0.0,0.0,0.0
brand8,Brand: Evolut R,Procedural,0.0,0.0,0.0,0.0,0.0
