feature,feature_pretty,group,raw_delta_log_loss,repeat_std_raw,importance_percent,baseline_test_log_loss
model4,Model Size:29mm,Procedural,0.07515477351162721,0.02162324431505983,28.600999797333206,0.7323620509314838
model7,Model Size:25mm,Procedural,0.027202861158944457,0.012598349576626625,10.352356745157175,0.7323620509314838
CT_ValScLCC,LCC Valvular Calcification,Radiomics,0.018320268563554065,0.0058082750613346916,6.971985583753173,0.7323620509314838
CT_ValScRCC,RCC Valvular Calcification,Radiomics,-0.015647269095402906,0.009005086736179085,5.954745378311859,0.7323620509314838
brand2,Brand: Sapien 3,Procedural,0.015065353185303932,0.019874225674607535,5.733290691548271,0.7323620509314838
CT_Peri_Deri,Perimeter-Derived Diameter,Patient,0.013781951260267067,0.0031901108180254207,5.244877561114214,0.7323620509314838
model2,Model Size: 23mm,Procedural,0.013054249641852644,0.013153984813807402,4.967942472785195,0.7323620509314838
PQADM,PQ Interval,Electrocardiographic,-0.01278870994587058,0.009654399339152025,4.8668883356212795,0.7323620509314838
CT_Area_Deri,Area-Derived Diameter,Patient,0.009665985604823613,0.0008465724718595685,3.6785002390009884,0.7323620509314838
CT_AnnMean,Mean Annulus Diameter,Patient,-0.008316189442263866,0.040398502427344087,3.164820029907686,0.7323620509314838
DM,Diabetes Mellitus,Patient,0.0063313802511802296,0.016955441071113374,2.4094784245850955,0.7323620509314838
model8,Model Size:27mm,Procedural,-0.005160541634138394,0.006221150252432036,1.9639025352033967,0.7323620509314838
nyha2,NYHA Class:2,Patient,-0.004691959789254407,0.002311061640210881,1.785578409877046,0.7323620509314838
CT_LVOTScTot,Total LVOT Calcification,Radiomics,0.004229792581679414,0.007424602578177956,1.609695447391085,0.7323620509314838
CT_ValScNCC,NCC Valvular Calcification,Radiomics,0.003815398256544267,0.0021706483181032524,1.4519929960973859,0.7323620509314838
PREDILATION,Predilation,Procedural,0.0033716721505982596,0.01067434093974665,1.2831280035860348,0.7323620509314838
NTPROBNPPRE,NT-proBNP,Patient,-0.002826361365844421,0.005406922983594003,1.07560381163547,0.7323620509314838
nyha4,NYHA Class:4,Patient,-0.002348208758311854,0.0025501607506445206,0.8936374242440219,0.7323620509314838
LVEFPRE,LVEF,Patient,0.0022415982300503234,0.002010486188225244,0.8530655809035603,0.7323620509314838
CT_ValvScTot,Total Valvular Calcification,Radiomics,0.0022125054764878136,0.0018007616889394932,0.8419940042110102,0.7323620509314838
QRSADM,QRS,Electrocardiographic,-0.001981382272626653,0.003346422436565265,0.7540374527117316,0.7323620509314838
CT_LVOTScNCC,NCC LVOT Calcification,Radiomics,-0.001980114479079598,0.0016082112611549137,0.7535549795262224,0.7323620509314838
AGE,Age,Patient,0.0019578670901352125,0.0036894149562426305,0.7450884838273015,0.7323620509314838
nyha3,NYHA Class:3,Patient,-0.0018062093069607377,0.0021340794322871883,0.6873733977035161,0.7323620509314838
SEX,Sex,Patient,0.001691693149353002,0.004309815125870178,0.6437929776251625,0.7323620509314838
AFPRE,AF,Patient,-0.001391021414291771,0.0035866869080246385,0.5293689453017911,0.7323620509314838
CT_AnnScNCC,NCC Annular Calcification,Radiomics,0.0011849096005964953,0.0008267563089481912,0.45093076145423366,0.7323620509314838
CT_LVOTScRCC,RCC LVOT Calcification,Radiomics,-0.0008883583188445954,0.0014064458136765889,0.3380748142804618,0.7323620509314838
BMI,BMI,Patient,0.0008425913717359457,0.004640812226792585,0.32065768448528603,0.7323620509314838
CT_LVOTScLCC,LCC LVOT Calficication,Radiomics,0.0006932853140973361,0.0009448138457259976,0.2638375741352517,0.7323620509314838
CT_AnnScTot,Total Annular Calcification,Radiomics,0.0005951887060121841,0.0018624447571436312,0.22650579949383867,0.7323620509314838
CT_AnnScLCC,LCC Annular Calcification,Radiomics,0.00041462407647077095,0.000391797358126646,0.1577898857652113,0.7323620509314838
ECC_INDEX,Eccentricity Index,Patient,-0.00031700654247477365,0.0012135367739582262,0.120640428191452,0.7323620509314838
CT_AnnScRCC,RCC Annular Calcification,Radiomics,0.0003014526204109247,0.000504887063300779,0.11472120708266832,0.7323620509314838
CABGPRE,CABG,Patient,0.0002563583457220853,0.0034630786002428286,0.09756007039137288,0.7323620509314838
model3,Model Size:26mm,Procedural,0.00024064995834034432,0.002056383355721538,0.09158206575734791,0.7323620509314838
model1,Model Size: 20mm,Procedural,0.0,0.0,0.0,0.7323620509314838
brand8,Brand: Evolut R,Procedural,0.0,0.0,0.0,0.7323620509314838
