feature,feature_pretty,group,importance_mean,repeat_std,fold_std,raw_mean,raw_fold_std
brand2,Brand: Sapien 3,Procedural,37.07146887978467,18.950539076948406,21.79062477140095,0.012411232419228462,0.007295327559721587
PREDILATION,Predilation,Procedural,36.6242858673699,46.43430028708356,14.282000288434142,-0.012261519109539862,0.004781499906735653
DM,Diabetes Mellitus,Patient,3.8661923561294196,1.094620724237566,1.163286963232341,0.0012943703974873477,0.00038945920696463427
model7,Model Size:25mm,Procedural,3.426704387887209,3.318813510273302,1.5955963951149599,-0.0011472333272785381,0.0005341929603942331
model4,Model Size:29mm,Procedural,2.9804103552421837,1.0240026719498911,1.0830603451672605,0.000997817640934029,0.0003625999744307609
CT_LVOTScTot,Total LVOT Calcification,Radiomics,2.628637844437105,3.644080064076224,0.7579627610073949,0.0008800470070145794,0.00025375989342339586
CABGPRE,CABG,Patient,1.9005023385039697,0.9565021086508043,1.3896476282403412,0.0006362730409455786,0.0004652429541124955
CT_AnnScTot,Total Annular Calcification,Radiomics,1.381196234350545,1.441307382124319,0.6891251072372313,0.00046241349477348597,0.00023071359539548664
model3,Model Size:26mm,Procedural,1.2511620152662997,1.2834152758310466,0.734096029778207,0.00041887907425346426,0.0002457695019626939
PQADM,PQ Interval,Electrocardiographic,1.0643632631113982,0.8031223293222493,0.4144034138078561,-0.0003563403403248344,0.00013873896124185316
model2,Model Size: 23mm,Procedural,0.9151010020959481,0.528907402646871,0.8054193842408303,0.0003063685245629699,0.00026964799277796734
CT_Area_Deri,Area-Derived Diameter,Patient,0.8030380593605387,1.4879408606416908,0.44400659800844267,0.00026885074418091736,0.00014864987145299575
AGE,Age,Patient,0.6519027616649569,1.3867347628323423,0.7679300573342639,-0.0002182518506617015,0.0002570968648205975
model8,Model Size:27mm,Procedural,0.6136320812433413,1.5116614894123463,0.8289795548156162,0.00020543913177281767,0.00027753575017405447
nyha2,NYHA Class:2,Patient,0.5769144260058966,0.512334630688994,0.3966365141971426,0.00019314635334208408,0.00013279074480746444
CT_AnnScRCC,RCC Annular Calcification,Radiomics,0.5736844504651895,1.0068622426809821,0.2444909937073901,0.00019206498326543195,8.185363674556851e-05
CT_ValvScTot,Total Valvular Calcification,Radiomics,0.3760538511861493,0.22782827545687903,0.1790762343802735,0.00012589983322086162,5.9953296505760544e-05
CT_LVOTScLCC,LCC LVOT Calficication,Radiomics,0.34427496828024384,0.39673913885604833,0.3592296001925674,0.00011526051641775226,0.00012026720803306806
NTPROBNPPRE,NT-proBNP,Patient,0.2918849432209135,0.1411275626228848,0.21368681734101805,-9.772075343805753e-05,7.154064392605742e-05
BMI,BMI,Patient,0.28594312060785215,0.4440039501600064,0.6069383004104291,9.573147856784202e-05,0.00020319810728171758
AFPRE,AF,Patient,0.26825256103162487,0.45245429880672505,0.3892261935750136,-8.98088201687708e-05,0.0001303098285038648
LVEFPRE,LVEF,Patient,0.2427847534914566,0.24395670833156077,0.23299252896366768,8.128240111550333e-05,7.80040423617737e-05
CT_AnnScLCC,LCC Annular Calcification,Radiomics,0.21624823161021595,0.4077833630794218,0.5608345269959603,-7.23981850156763e-05,0.00018776293126789514
QRSADM,QRS,Electrocardiographic,0.19621112409152128,1.0529812503536569,0.4062194962156751,-6.568992106125827e-05,0.00013599905083620537
CT_ValScRCC,RCC Valvular Calcification,Radiomics,0.19438987408360453,0.12322997519961423,0.032672605320286485,6.508018106916148e-05,1.0938527946836277e-05
CT_ValScLCC,LCC Valvular Calcification,Radiomics,0.18732196851769217,0.22237645359558952,0.08202436517848101,6.271390259823928e-05,2.7461103944142146e-05
CT_ValScNCC,NCC Valvular Calcification,Radiomics,0.18487235042732023,0.22088789135693193,0.21548779012923813,6.189378997857096e-05,7.214359526655567e-05
nyha3,NYHA Class:3,Patient,0.17147019465879393,0.47583677172034783,0.17709273197573538,-5.7406855007062775e-05,5.92892357039981e-05
CT_Peri_Deri,Perimeter-Derived Diameter,Patient,0.16561507461236685,0.15307086241664306,0.15148361922170214,5.544660746536589e-05,5.071550879095811e-05
CT_LVOTScNCC,NCC LVOT Calcification,Radiomics,0.11916405606954063,1.239884227257281,0.24901532022760928,-3.9895176549196164e-05,8.336834521760155e-05
CT_LVOTScRCC,RCC LVOT Calcification,Radiomics,0.10544690732249667,0.6158037059123973,0.1960224287082078,3.53027844381426e-05,6.562674735032889e-05
ECC_INDEX,Eccentricity Index,Patient,0.08319400093775638,0.2834794646702225,0.1392445421525331,-2.7852688677438844e-05,4.6617963301328493e-05
CT_AnnScNCC,NCC Annular Calcification,Radiomics,0.06596737669146266,1.098305157315494,1.1023352793097871,2.208535213048976e-05,0.0003690530688113473
CT_AnnMean,Mean Annulus Diameter,Patient,0.052846192978887485,0.18427214106845635,0.11312781342647728,-1.7692484364708606e-05,3.787429060521432e-05
SEX,Sex,Patient,0.049439629274348494,0.14643456512057743,0.10081714909937457,-1.655199397774698e-05,3.3752778271989936e-05
nyha4,NYHA Class:4,Patient,0.03899165442303909,0.20496187995500947,0.0731634299656812,1.305409524030132e-05,2.4494533433154e-05
brand8,Brand: Evolut R,Procedural,0.03043084356417332,0.968822335375082,0.7393622739470099,-1.0188003971811637e-05,0.0002475325985523481
model1,Model Size: 20mm,Procedural,0.0,0.0,0.0,0.0,0.0
