feature,feature_pretty,group,raw_delta_log_loss,repeat_std_raw,importance_percent,baseline_test_log_loss
brand2,Brand: Sapien 3,Procedural,0.01727274456283332,0.007305102650094553,42.12016786071283,0.7392379473621158
PREDILATION,Predilation,Procedural,-0.01302573609275921,0.020276196152522828,31.76369503645151,0.7392379473621158
DM,Diabetes Mellitus,Patient,0.0017100231485867035,0.00034089709817828814,4.169948892728939,0.7392379473621158
model7,Model Size:25mm,Procedural,-0.0015050364391230309,0.0010250879352773463,3.670081915572139,0.7392379473621158
model4,Model Size:29mm,Procedural,0.0013392557707434527,0.00031679819820491686,3.2658201866495644,0.7392379473621158
CT_LVOTScTot,Total LVOT Calcification,Radiomics,0.0011106925609045027,0.0011581708514192387,2.708461121320995,0.7392379473621158
CABGPRE,CABG,Patient,0.0007862090099636676,0.0003601588994159089,1.9171970819582647,0.7392379473621158
model2,Model Size: 23mm,Procedural,0.0005497062802307884,0.0002533611903150447,1.3404772306556272,0.7392379473621158
CT_AnnScTot,Total Annular Calcification,Radiomics,0.00037016654071295727,0.0003699998134156933,0.9026635445532006,0.7392379473621158
model3,Model Size:26mm,Procedural,0.000298851580678372,0.000615332851271268,0.7287596188215489,0.7392379473621158
model8,Model Size:27mm,Procedural,0.00029562574568915424,0.0004484391308132816,0.7208933118346917,0.7392379473621158
AGE,Age,Patient,-0.00025109275142261024,0.0006588083339276915,0.6122981093164355,0.7392379473621158
CT_Area_Deri,Area-Derived Diameter,Patient,0.00024177628525774432,0.0004669913442199043,0.5895795936048573,0.7392379473621158
PQADM,PQ Interval,Electrocardiographic,-0.00024162793763831124,0.00019321475132526167,0.5892178429514202,0.7392379473621158
CT_LVOTScLCC,LCC LVOT Calficication,Radiomics,0.00023260892843930404,0.0002309321611147098,0.5672246860435765,0.7392379473621158
CT_AnnScRCC,RCC Annular Calcification,Radiomics,0.00021180410168519792,0.00039842163768067404,0.5164914171060166,0.7392379473621158
QRSADM,QRS,Electrocardiographic,-0.00015993336657631473,0.0004369178901933853,0.3900028870465906,0.7392379473621158
NTPROBNPPRE,NT-proBNP,Patient,-0.00015194238012152805,7.94410406232918e-05,0.3705165981349524,0.7392379473621158
nyha2,NYHA Class:2,Patient,0.0001471819684822906,0.00016217649308506308,0.3589081744359058,0.7392379473621158
CT_ValScNCC,NCC Valvular Calcification,Radiomics,0.0001251789731216535,7.05937248765921e-05,0.3052531311011772,0.7392379473621158
CT_ValvScTot,Total Valvular Calcification,Radiomics,0.00011456532498075323,7.172567917737261e-05,0.2793713935647349,0.7392379473621158
CT_LVOTScNCC,NCC LVOT Calcification,Radiomics,-0.00011395955454254202,0.00038064962620659574,0.27789420200147774,0.7392379473621158
brand8,Brand: Evolut R,Procedural,0.00011062134164188108,0.00033973011414791166,0.26975385770244925,0.7392379473621158
CT_ValScLCC,LCC Valvular Calcification,Radiomics,0.00010100369118997144,8.072972274717228e-05,0.24630089398921493,0.7392379473621158
CT_AnnScNCC,NCC Annular Calcification,Radiomics,8.781171774137064e-05,0.00028845039411015363,0.2141318235761232,0.7392379473621158
BMI,BMI,Patient,8.2420959011964e-05,0.00014898450494304458,0.20098627732241509,0.7392379473621158
CT_Peri_Deri,Perimeter-Derived Diameter,Patient,6.987312098178932e-05,5.347359636268821e-05,0.17038795276563148,0.7392379473621158
CT_ValScRCC,RCC Valvular Calcification,Radiomics,5.81574222302983e-05,5.983561618927923e-05,0.1418188277940178,0.7392379473621158
SEX,Sex,Patient,-5.073553384367102e-05,6.12187499924084e-05,0.12372030363932857,0.7392379473621158
CT_AnnScLCC,LCC Annular Calcification,Radiomics,4.307962667864374e-05,9.169764512099405e-05,0.10505111683210541,0.7392379473621158
CT_LVOTScRCC,RCC LVOT Calcification,Radiomics,-3.9084948798273625e-05,0.00025837661676075455,0.09530996062739246,0.7392379473621158
AFPRE,AF,Patient,2.9271952894505128e-05,7.848248867571197e-05,0.07138064046755002,0.7392379473621158
nyha3,NYHA Class:3,Patient,-2.9230944041636066e-05,0.00022290914427338168,0.07128063900221619,0.7392379473621158
LVEFPRE,LVEF,Patient,2.5511063755501163e-05,6.999139037815942e-05,0.06220958596233627,0.7392379473621158
nyha4,NYHA Class:4,Patient,-1.576018565891957e-05,8.669504402450105e-05,0.038431742162045944,0.7392379473621158
ECC_INDEX,Eccentricity Index,Patient,-9.41097360176446e-06,0.00011984932703159444,0.022948975271248638,0.7392379473621158
CT_AnnMean,Mean Annulus Diameter,Patient,5.591747119559898e-07,3.492579158677318e-05,0.0013635663194910706,0.7392379473621158
model1,Model Size: 20mm,Procedural,0.0,0.0,0.0,0.7392379473621158
