feature,feature_pretty,group,raw_delta_log_loss,repeat_std_raw,importance_percent,baseline_test_log_loss
LVEFPRE,LVEF,Patient,0.002240994587689871,0.0008819031172339098,12.226604394710902,0.7009181741867758
CT_AnnScLCC,LCC Annular Calcification,Radiomics,-0.0019378322546138803,0.0008911164679560666,10.572586159120824,0.7009181741867758
CT_LVOTScLCC,LCC LVOT Calficication,Radiomics,-0.0017722291230687138,0.0013321249966421938,9.669074840061704,0.7009181741867758
model3,Model Size:26mm,Procedural,-0.001617101395087328,0.0011738617920611586,8.822716097788291,0.7009181741867758
ECC_INDEX,Eccentricity Index,Patient,-0.001392669363393817,0.0009938606628027548,7.598241179334126,0.7009181741867758
CT_AnnScTot,Total Annular Calcification,Radiomics,-0.001330682837035857,0.00044681592950591173,7.2600499406116965,0.7009181741867758
nyha4,NYHA Class:4,Patient,-0.0012643212331054255,0.0008201980435705279,6.897988790302411,0.7009181741867758
nyha2,NYHA Class:2,Patient,-0.0011969481087973576,0.001042672661029604,6.530408903106171,0.7009181741867758
CT_LVOTScTot,Total LVOT Calcification,Radiomics,0.000909922329097701,0.001497031793748564,4.9644298156293205,0.7009181741867758
model7,Model Size:25mm,Procedural,0.0007783389296997401,0.0006301305065948596,4.246526176688113,0.7009181741867758
CT_AnnScNCC,NCC Annular Calcification,Radiomics,-0.000598351233260952,0.0004474280836359173,3.2645343537891094,0.7009181741867758
CT_ValvScTot,Total Valvular Calcification,Radiomics,-0.00033105717218950836,0.00013421100525300028,1.8062092155989469,0.7009181741867758
CT_ValScRCC,RCC Valvular Calcification,Radiomics,-0.00030630467981405116,0.00024056733579262593,1.6711625119075342,0.7009181741867758
DM,Diabetes Mellitus,Patient,0.00026972905961033524,0.0002169841285030091,1.4716102054546119,0.7009181741867758
AGE,Age,Patient,0.00025999401370278006,0.0003791819079359131,1.4184969334592852,0.7009181741867758
CT_Area_Deri,Area-Derived Diameter,Patient,-0.0002496214039910294,0.00020521425395074062,1.3619051879089108,0.7009181741867758
CT_AnnMean,Mean Annulus Diameter,Patient,-0.00022368419934759576,0.0002847455628797318,1.2203948326309764,0.7009181741867758
QRSADM,QRS,Electrocardiographic,-0.00021812235007965253,0.0003424783772131641,1.1900500334620259,0.7009181741867758
brand2,Brand: Sapien 3,Procedural,-0.00021674443037791313,0.0002868415023074065,1.1825322647117618,0.7009181741867758
NTPROBNPPRE,NT-proBNP,Patient,-0.00018344350067922566,0.0013051170140609542,1.0008462866917751,0.7009181741867758
CT_LVOTScNCC,NCC LVOT Calcification,Radiomics,0.00015872316971099476,0.00035522204655661716,0.865975051877036,0.7009181741867758
CT_AnnScRCC,RCC Annular Calcification,Radiomics,0.00014395689479334005,0.0001387747846286165,0.7854119827855495,0.7009181741867758
CT_Peri_Deri,Perimeter-Derived Diameter,Patient,-0.00011011435528867075,0.00018574920983950742,0.6007710450033162,0.7009181741867758
PQADM,PQ Interval,Electrocardiographic,8.892828314639445e-05,0.00014673380878834938,0.4851823130249661,0.7009181741867758
CT_ValScLCC,LCC Valvular Calcification,Radiomics,-8.413740469437325e-05,0.0002308555400924104,0.45904384046560515,0.7009181741867758
CT_ValScNCC,NCC Valvular Calcification,Radiomics,-7.235292901175416e-05,0.00020882939693234962,0.3947491192904847,0.7009181741867758
model4,Model Size:29mm,Procedural,-6.99863658599087e-05,0.00013608687138419334,0.381837427494503,0.7009181741867758
CT_LVOTScRCC,RCC LVOT Calcification,Radiomics,6.82193501714723e-05,0.00024203255501120628,0.372196796544104,0.7009181741867758
AFPRE,AF,Patient,-5.8297416517394395e-05,7.754301208933835e-05,0.31806388685955506,0.7009181741867758
PREDILATION,Predilation,Procedural,5.111861502373749e-05,0.00014788564330978982,0.278897185443474,0.7009181741867758
BMI,BMI,Patient,4.226758765093486e-05,0.00010916098067775828,0.23060701519117918,0.7009181741867758
model2,Model Size: 23mm,Procedural,3.0443198081031574e-05,0.000256467887427951,0.16609452851481224,0.7009181741867758
nyha3,NYHA Class:3,Patient,2.252235675819225e-05,0.0001220505112350023,0.12287934456942501,0.7009181741867758
model8,Model Size:27mm,Procedural,2.1081512248399826e-05,0.00019236267177808754,0.11501826542523874,0.7009181741867758
SEX,Sex,Patient,6.533525500906911e-06,0.0002200335846713856,0.035646151062190386,0.7009181741867758
CABGPRE,CABG,Patient,2.0634466261437724e-06,8.278947097608545e-05,0.01125792348006877,0.7009181741867758
model1,Model Size: 20mm,Procedural,0.0,0.0,0.0,0.7009181741867758
brand8,Brand: Evolut R,Procedural,0.0,0.0,0.0,0.7009181741867758
