feature,feature_pretty,group,importance_mean,repeat_std,fold_std,raw_mean,raw_fold_std
ECC_INDEX,Eccentricity Index,Patient,32.20278339671191,20.25924099363719,14.007486435779828,-0.02966993225581019,0.012905753161268754
CT_ValScNCC,NCC Valvular Calcification,Radiomics,6.54907323956919,5.6458938695478516,2.146076877754008,-0.006033967839444508,0.0019772811186632875
CT_ValScLCC,LCC Valvular Calcification,Radiomics,6.375139939809133,8.043593296808938,3.153715369447799,-0.005873714945856516,0.002905665644267809
BMI,BMI,Patient,4.724316194963012,3.263462325584738,1.4845066892841334,0.004352733729031998,0.0013677455256508844
CT_AnnScLCC,LCC Annular Calcification,Radiomics,4.658673256389026,2.483666413554891,1.8053793340280984,-0.004292253815958355,0.0016633805182853462
QRSADM,QRS,Electrocardiographic,4.359637562300146,6.100940984657067,1.1175621322611553,0.004016738228489225,0.0010296623228920295
CT_ValvScTot,Total Valvular Calcification,Radiomics,3.789171252645215,7.167309247259966,2.7294427986340146,-0.0034911409050164947,0.0025147634579888198
nyha2,NYHA Class:2,Patient,3.7344946276673916,2.286597531522768,0.6083713789543784,0.00344076477016245,0.0005605210387432933
CT_AnnScRCC,RCC Annular Calcification,Radiomics,3.337503581686687,4.648947514848143,1.138972399974105,0.0030749983301840535,0.0010493886050831163
LVEFPRE,LVEF,Patient,3.0702662076312923,4.417914064257306,1.7914562665735196,-0.0028287800239349802,0.0016505525442844216
CT_AnnMean,Mean Annulus Diameter,Patient,2.449366965346598,2.0999391070088667,0.6898975375460167,0.002256716478081619,0.0006356349061594039
CT_LVOTScNCC,NCC LVOT Calcification,Radiomics,2.339622164632411,3.9097933424537055,1.2391443271041196,0.0021556034543251147,0.0011416816921516382
DM,Diabetes Mellitus,Patient,2.0890773918021672,2.9031501780417543,0.7643607690473941,-0.0019247648232246825,0.0007042413681219485
CT_LVOTScLCC,LCC LVOT Calficication,Radiomics,1.952333349317376,4.383595393172634,1.3231752090897755,0.0017987761337710981,0.0012191032785156591
CT_LVOTScTot,Total LVOT Calcification,Radiomics,1.934903504714435,2.670373103883347,1.2582487176131758,0.0017827172017766866,0.001159283461700854
nyha3,NYHA Class:3,Patient,1.869307891679073,2.123818192485341,0.4573518726519966,0.0017222808919378219,0.00042137969601839455
CT_Area_Deri,Area-Derived Diameter,Patient,1.8344797160235196,3.2848908031239303,0.9820265980950672,-0.0016901920628585552,0.0009047870887415094
PQADM,PQ Interval,Electrocardiographic,1.7183938611328986,5.006454982843813,1.22976510384517,0.0015832367289660755,0.001133040174576062
CT_AnnScTot,Total Annular Calcification,Radiomics,1.3212572212099785,3.7030105205919983,2.1102790413503194,0.001217336146471202,0.001944298895731885
CABGPRE,CABG,Patient,1.180510214059978,2.415518933382063,0.34008268184073076,0.0010876593382306155,0.00031333409933189196
model2,Model Size: 23mm,Procedural,1.1589100130265644,1.7042119843110715,0.713273754052993,0.001067758061577657,0.0006571725090310224
CT_ValScRCC,RCC Valvular Calcification,Radiomics,1.1165799956624907,4.542095932592509,1.4564142932788333,-0.0010287574344546124,0.0013418626857698527
model7,Model Size:25mm,Procedural,0.9855125375671261,1.6338760633093674,0.39242588285403757,0.0009079988480080826,0.0003615603414236126
brand2,Brand: Sapien 3,Procedural,0.938462163411908,2.5759050912550148,1.482741245786415,0.0008646491351401453,0.001366118939888608
AFPRE,AF,Patient,0.8600782664445809,2.119194844712527,0.5573842452037002,-0.0007924303804965804,0.0005135442049192015
AGE,Age,Patient,0.8524746510053642,2.712818689251751,0.5351010168524265,0.0007854248135491027,0.000493013623215182
SEX,Sex,Patient,0.6903137992055943,4.611854683042692,2.300729873847096,0.0006360184275180458,0.002119770165672451
model3,Model Size:26mm,Procedural,0.6798125115641,2.092031556649135,0.43829611331889995,-0.0006263430994855713,0.0004038227326487708
nyha4,NYHA Class:4,Patient,0.5534863480431829,1.6663637321097517,0.6801170747089103,-0.0005099528897441141,0.0006266237077722157
NTPROBNPPRE,NT-proBNP,Patient,0.37636227924029714,2.3063067137308773,0.4639258950145365,0.0003467601912275109,0.00042743665065308795
CT_Peri_Deri,Perimeter-Derived Diameter,Patient,0.18139663373741532,4.877221694118245,2.427643701821791,-0.00016712921265590544,0.0022367018181928735
model4,Model Size:29mm,Procedural,0.07474053973023434,1.6945892608492235,0.5455854368395484,-6.886195901889547e-05,0.0005026734102878463
CT_AnnScNCC,NCC Annular Calcification,Radiomics,0.041558722069713123,2.2787586994954747,1.8674159089911975,3.828999665203888e-05,0.0017205377196943888
PREDILATION,Predilation,Procedural,0.0,0.0,0.0,0.0,0.0
CT_LVOTScRCC,RCC LVOT Calcification,Radiomics,0.0,0.0,0.0,0.0,0.0
model1,Model Size: 20mm,Procedural,0.0,0.0,0.0,0.0,0.0
model8,Model Size:27mm,Procedural,0.0,0.0,0.0,0.0,0.0
brand8,Brand: Evolut R,Procedural,0.0,0.0,0.0,0.0,0.0
