feature,feature_pretty,group,importance_mean,repeat_std,fold_std,raw_mean,raw_fold_std
brand2,Brand: Sapien 3,Procedural,23.831886250441677,51.06429243571647,10.688163012834462,0.015190165864425013,0.006812510232922043
model4,Model Size:29mm,Procedural,10.08242977975093,4.151398318957296,4.994672241239856,0.006426422947029482,0.0031835457330393535
CT_LVOTScTot,Total LVOT Calcification,Radiomics,6.886113018319699,11.637773036465799,1.9058000004671303,0.004389127986355423,0.0012147346545421035
AFPRE,AF,Patient,6.280362012908016,3.736651388927498,4.461950664430424,-0.004003029372588536,0.0028439952238494513
NTPROBNPPRE,NT-proBNP,Patient,5.922055623239835,2.7206573891883745,1.2104067470551503,-0.0037746490659629076,0.00077149911920405
PQADM,PQ Interval,Electrocardiographic,5.035826970437209,8.190416563102822,4.424992183453303,-0.0032097772766126907,0.0028204383198662734
CT_AnnScNCC,NCC Annular Calcification,Radiomics,4.862620775918307,3.541615007791024,2.8408580981774567,-0.0030993776718210553,0.0018107297615945447
model7,Model Size:25mm,Procedural,4.49531307534731,15.060726652944789,8.336346341923928,0.0028652600347896765,0.005313489763520936
nyha2,NYHA Class:2,Patient,3.8105003159850614,2.2022992903339857,1.4165476140065054,-0.0024287683827453766,0.0009028908994232688
LVEFPRE,LVEF,Patient,3.473271851907406,1.7985270932961563,1.9204174425270282,-0.00221382289963449,0.00122405164133325
CABGPRE,CABG,Patient,2.229456779705637,4.9414462155230385,2.1589662248812527,-0.0014210297042966057,0.0013760998482035785
CT_ValvScTot,Total Valvular Calcification,Radiomics,2.2020160530090354,0.9609168852862713,1.3174292868305069,0.0014035393056944388,0.0008397140356960068
model8,Model Size:27mm,Procedural,2.1880126448248807,4.051011420651931,3.3623424013121817,0.0013946136969218382,0.002143117763830992
AGE,Age,Patient,2.0054943590334293,6.905737437956366,4.591184626350321,0.0012782786739476792,0.002926367441316864
CT_AnnScLCC,LCC Annular Calcification,Radiomics,1.9293689268590024,1.197896815953808,0.546517891309616,-0.001229757212864877,0.00034834411886784715
CT_LVOTScNCC,NCC LVOT Calcification,Radiomics,1.712590895153144,3.226764846126362,1.5494779433507404,-0.0010915854281067761,0.000987619138301723
CT_ValScLCC,LCC Valvular Calcification,Radiomics,1.4467981657028361,2.4277549462194723,1.90801590493286,-0.000922172247652644,0.0012161470461598057
BMI,BMI,Patient,1.3946988739756696,4.840147669043729,3.4888140234816154,-0.0008889647677898172,0.002223729298214301
CT_LVOTScRCC,RCC LVOT Calcification,Radiomics,1.3310719222192768,2.595178495346193,0.6482427066365342,-0.0008484096921037932,0.0004131823276905019
CT_LVOTScLCC,LCC LVOT Calficication,Radiomics,1.3049580910413836,1.0664944947430286,0.34110293100629924,-0.0008317650412029253,0.0002174150230652087
QRSADM,QRS,Electrocardiographic,1.2390724148648518,4.072513538741354,1.2460459448168686,0.0007897702809605311,0.0007942151274791195
DM,Diabetes Mellitus,Patient,1.2170267019018868,2.238943375090713,1.8142078343382435,-0.0007757186010814054,0.001156354877936969
model2,Model Size: 23mm,Procedural,1.14375241934213,2.389875043326876,1.354304460830936,-0.0007290144294525725,0.0008632178407855293
model3,Model Size:26mm,Procedural,0.9300721460218685,3.2509230890790013,1.2880421664379778,0.0005928171196978615,0.0008209830284920733
CT_ValScNCC,NCC Valvular Calcification,Radiomics,0.9123223052795163,0.35975332594527,0.47698920783241544,0.000581503578582816,0.0003040273483338233
CT_ValScRCC,RCC Valvular Calcification,Radiomics,0.5278936933407518,1.742613612783413,0.8259748321173332,0.00033647327267187336,0.0005264667080001009
nyha4,NYHA Class:4,Patient,0.3409488526445898,0.9552361518718161,0.4652999221044656,0.00021731681531757637,0.00029657673417855796
ECC_INDEX,Eccentricity Index,Patient,0.32705991925758093,0.7191560231393638,0.27633217224744516,-0.00020846417144325,0.00017613089815908978
nyha3,NYHA Class:3,Patient,0.3126583970221201,1.9019570372803265,0.3638042633725538,0.00019928480942557505,0.0002318845870922884
CT_AnnScRCC,RCC Annular Calcification,Radiomics,0.1903772288195128,0.6779635717033745,0.378647622032075,-0.00012134422144300049,0.00024134557048461635
CT_Peri_Deri,Perimeter-Derived Diameter,Patient,0.16486340099111904,0.8007652502153177,0.7180693609698912,0.00010508200566717194,0.0004576890213670004
CT_AnnScTot,Total Annular Calcification,Radiomics,0.15864999751089104,1.9568751518591123,0.6174876056490491,0.00010112165488102678,0.0003935793856376721
CT_Area_Deri,Area-Derived Diameter,Patient,0.03997548134041281,0.3949530614743761,0.23535878087184553,-2.5479904766658737e-05,0.00015001493719473996
CT_AnnMean,Mean Annulus Diameter,Patient,0.03263577417063659,0.4483197462633134,0.32159764927249107,2.0801661167575427e-05,0.00020498258437129732
SEX,Sex,Patient,0.021013015109272823,0.6483742461179395,0.48394309895356824,-1.3393450332350737e-05,0.0003084596772910625
PREDILATION,Predilation,Procedural,0.01683186660310967,18.58510766394619,6.130879271142966,1.0728435123525879e-05,0.003907750819417444
model1,Model Size: 20mm,Procedural,0.0,0.0,0.0,0.0,0.0
brand8,Brand: Evolut R,Procedural,0.0,0.0,0.0,0.0,0.0
