feature,feature_pretty,group,raw_delta_log_loss,repeat_std_raw,importance_percent,baseline_test_log_loss
brand2,Brand: Sapien 3,Procedural,0.010382986246387272,0.036228885417647246,15.813982023633407,0.70669565110765
model4,Model Size:29mm,Procedural,0.009119837387497397,0.003258943969371261,13.89012188613126,0.70669565110765
AFPRE,AF,Patient,-0.004326311218020118,0.0023768392089135214,6.589261143846637,0.70669565110765
NTPROBNPPRE,NT-proBNP,Patient,-0.0042376091750367054,0.0015971039243302314,6.454162003781098,0.70669565110765
AGE,Age,Patient,0.00378747402836479,0.006122604042096736,5.768576089598452,0.70669565110765
CT_AnnScNCC,NCC Annular Calcification,Radiomics,-0.0037690739979578504,0.0016145510628808569,5.7405516134810055,0.70669565110765
CT_LVOTScTot,Total LVOT Calcification,Radiomics,0.0035917178918243977,0.004330333308317121,5.470426409842993,0.70669565110765
model7,Model Size:25mm,Procedural,0.0026323514557902382,0.009404657278691976,4.009247206335883,0.70669565110765
PQADM,PQ Interval,Electrocardiographic,-0.0024175530271226984,0.0042998822075257905,3.6820948429360856,0.70669565110765
nyha2,NYHA Class:2,Patient,-0.002235434588719931,0.0014238685363522536,3.4047162889506515,0.70669565110765
LVEFPRE,LVEF,Patient,-0.002116271265404901,0.0014195576938505097,3.2232225829914447,0.70669565110765
CABGPRE,CABG,Patient,-0.0018506788625848535,0.004097944172419761,2.8187076020271546,0.70669565110765
model3,Model Size:26mm,Procedural,0.001552751553293863,0.001454093186970027,2.3649443973309605,0.70669565110765
BMI,BMI,Patient,0.0015326196117419811,0.002680784182654113,2.3342821047835662,0.70669565110765
CT_AnnScLCC,LCC Annular Calcification,Radiomics,-0.0014696438340209505,0.0008394494612105341,2.2383657861858,0.70669565110765
PREDILATION,Predilation,Procedural,-0.0013020849058043905,0.014714268564705058,1.9831623393317752,0.70669565110765
model8,Model Size:27mm,Procedural,0.0011530487036269799,0.002206654143224967,1.7561702422436927,0.70669565110765
CT_LVOTScRCC,RCC LVOT Calcification,Radiomics,-0.00113540138653212,0.00154668883520053,1.7292921988098418,0.70669565110765
CT_ValvScTot,Total Valvular Calcification,Radiomics,0.0010665127825027153,0.0001268274759723966,1.6243702505472926,0.70669565110765
CT_LVOTScLCC,LCC LVOT Calficication,Radiomics,-0.0010336888723929682,0.000808267161102581,1.5743772415898254,0.70669565110765
CT_ValScLCC,LCC Valvular Calcification,Radiomics,-0.0009364442714112408,0.0015599889312478033,1.4262672147316542,0.70669565110765
CT_AnnScTot,Total Annular Calcification,Radiomics,0.0006354953672398578,0.001137596552307305,0.9679019190774897,0.70669565110765
nyha3,NYHA Class:3,Patient,0.0005662167710537514,0.0015915806461417477,0.8623859866942752,0.70669565110765
CT_ValScNCC,NCC Valvular Calcification,Radiomics,0.00043706689711282555,0.00031920650728638645,0.6656820966581154,0.70669565110765
CT_LVOTScNCC,NCC LVOT Calcification,Radiomics,-0.00042715590011106476,0.0017364650778425345,0.6505869858005175,0.70669565110765
ECC_INDEX,Eccentricity Index,Patient,-0.00032005352921191663,0.0005258872255632723,0.48746291649175116,0.70669565110765
QRSADM,QRS,Electrocardiographic,0.0002779846280428711,0.0027685402675742955,0.4233891682410706,0.70669565110765
SEX,Sex,Patient,-0.0002467896205956777,0.0005077146884336088,0.37587708691006866,0.70669565110765
model2,Model Size: 23mm,Procedural,-0.000210935329699824,0.0011852531924294943,0.3212686054730024,0.70669565110765
DM,Diabetes Mellitus,Patient,-0.00020319783148339265,0.0012154957875476682,0.30948387853617193,0.70669565110765
CT_Area_Deri,Area-Derived Diameter,Patient,-0.0001466800162275961,0.0002580385603962951,0.22340346840549435,0.70669565110765
CT_AnnMean,Mean Annulus Diameter,Patient,-0.000142951431564442,0.000266957165168214,0.21772458475511577,0.70669565110765
CT_ValScRCC,RCC Valvular Calcification,Radiomics,0.00011349137050482571,0.0009784164405228417,0.17285494273146232,0.70669565110765
CT_AnnScRCC,RCC Annular Calcification,Radiomics,0.00010614172183776027,0.0005659965184770814,0.16166093658111852,0.70669565110765
CT_Peri_Deri,Perimeter-Derived Diameter,Patient,-9.676020574707067e-05,0.0005560640885857293,0.14737226054013713,0.70669565110765
nyha4,NYHA Class:4,Patient,7.658475067535697e-05,0.0006066590270799334,0.11664369399371434,0.70669565110765
model1,Model Size: 20mm,Procedural,0.0,0.0,0.0,0.70669565110765
brand8,Brand: Evolut R,Procedural,0.0,0.0,0.0,0.70669565110765
