Feature,No_Event_N,Pacemaker_N,No_Event_Median,Pacemaker_Median,MWU_Statistic,MWU_p,Rank_Biserial_NoEvent_vs_Pacemaker,MWU_q,Significant_FDR_0.05
model4,423,418,0.0,0.0,80095.0,0.003134344853105771,-0.09401970432205597,0.109702069858702,False
BMI,423,418,25.4326859558726,25.98817568792985,78908.5,0.007005849732220596,-0.10744058728381234,0.12260237031386044,False
brand2,423,418,1.0,1.0,94546.5,0.01849787126420287,0.06944585835963224,0.18943865574721983,False
AFPRE,423,418,0.0,0.0,82464.0,0.02510336033741581,-0.06722318368454983,0.18943865574721983,False
CT_AnnMean,422,418,25.3,25.85,80634.0,0.031455926951610765,-0.08576158189528105,0.18943865574721983,False
CT_Peri_Deri,422,418,26.196903632925974,26.6107064849649,80678.5,0.03247519812809482,-0.08525703530692308,0.18943865574721983,False
model3,423,418,0.0,0.0,94322.0,0.045039667042207375,0.06690646668250255,0.2123599321573594,False
model2,423,418,0.0,0.0,93240.5,0.048539413064539294,0.054673272478423574,0.2123599321573594,False
CT_Area_Deri,422,418,25.2237545606149,25.697580654974253,81529.0,0.057880279050327624,-0.07561395950021543,0.22004240469940822,False
brand8,423,418,0.0,0.0,84933.0,0.06286925848554521,-0.03929553089687465,0.22004240469940822,False
CT_LVOTScTot,422,417,0.0,5.0,82108.0,0.07208947468898952,-0.06681668882903158,0.22937560128314846,False
nyha4,423,418,0.0,0.0,85814.0,0.08828461589072605,-0.02933025665388489,0.257496796347951,False
CT_LVOTScNCC,422,418,0.0,0.0,83417.5,0.10391460792854024,-0.054201909340347854,0.2797700982691468,False
PREDILATION,423,418,1.0,1.0,84285.5,0.1322285958326525,-0.04661961156921968,0.33057148958163124,False
ECC_INDEX,422,418,0.23,0.24,83067.0,0.14409273431577035,-0.05817592235651603,0.3362163800701308,False
PQADM,298,300,140.0,144.0,41749.0,0.16246602381185404,-0.06601789709172257,0.3553944270884307,False
CT_AnnScLCC,422,417,167.0,189.0,83320.0,0.18365071501609453,-0.05304192664825491,0.35823410033582476,False
CT_AnnScTot,422,417,692.0,717.0,83329.0,0.18449942454507362,-0.052939638810278744,0.35823410033582476,False
CT_LVOTScRCC,422,418,0.0,0.0,85619.5,0.19811204461225307,-0.02923535681081202,0.35823410033582476,False
CT_LVOTScLCC,422,417,0.0,0.0,84198.0,0.20470520019189986,-0.04306317978792318,0.35823410033582476,False
CT_AnnScNCC,422,418,290.5,305.5,83976.0,0.2298871067385232,-0.047869566203315284,0.3831451778975386,False
model1,423,418,0.0,0.0,88195.5,0.3155787268002581,-0.0023923444976076125,0.502057065364047,False
QRSADM,298,302,170.5,174.0,42984.0,0.34287425676005245,-0.04475754477976801,0.5217651733305146,False
CT_AnnScRCC,422,418,198.0,204.7732,84998.0,0.36283272595904914,-0.03628200185945263,0.52913105869028,False
CT_ValScLCC,189,233,213.0,245.0,21008.5,0.41779248631789645,-0.04587051797352226,0.580467018763138,False
nyha2,423,418,0.0,0.0,90138.0,0.4312040710811882,0.019579897519427236,0.580467018763138,False
nyha3,423,418,1.0,1.0,86614.5,0.5194693981367602,-0.020275543791781203,0.6659246631670631,False
model7,423,418,0.0,0.0,87493.5,0.554794141736942,-0.010332892191794785,0.6659246631670631,False
CT_ValScNCC,189,234,308.0,352.0,21394.5,0.5657135890518168,-0.03249219915886581,0.6659246631670631,False
model8,423,418,0.0,0.0,87735.0,0.5707925684289112,-0.007601208049136332,0.6659246631670631,False
SEX,423,418,1.0,1.0,87163.5,0.6751055535719083,-0.014065628287352805,0.7622159475811867,False
CT_ValvScTot,189,233,872.0,870.0,21538.0,0.7000449512056077,-0.021822558303244977,0.7656741653811334,False
AGE,423,418,82.2203969883641,81.97399041752226,89006.0,0.8650742546052782,0.00677548157951291,0.9077923694830515,False
LVEFPRE,402,390,55.0,55.0,78852.5,0.8818554446406786,0.005899987243270788,0.9077923694830515,False
CT_ValScRCC,189,234,286.0,304.5,22102.0,0.9932981370129851,-0.0004974449418894134,0.993298137012985,False
