Feature,No_Event_N,Pacemaker_N,No_Event_Median,Pacemaker_Median,MWU_Statistic,MWU_p,Rank_Biserial_NoEvent_vs_Pacemaker,MWU_q,Significant_FDR_0.05
brand2,586,581,1.0,1.0,186963.5,0.00015460984450101854,0.09828000446446938,0.005411344557535649,True
model4,586,581,0.0,0.0,154359.0,0.00040270623719500134,-0.09324866506494045,0.007047359150912523,True
BMI,586,581,25.5473877733319,26.0789715335169,153259.0,0.0031929163543031034,-0.09971039692656536,0.03725069080020287,True
AFPRE,586,581,0.0,0.0,157810.0,0.007375528927289157,-0.07297644992451524,0.06453587811378013,False
model2,586,581,0.0,0.0,179795.0,0.02578407466887835,0.056170072782598,0.16731775578615118,False
model3,586,581,0.0,0.0,180233.5,0.03480975184893607,0.05874595407470928,0.16731775578615118,False
CT_AnnMean,585,581,24.9,25.4,158004.5,0.037854612201759404,-0.07024728952439796,0.16731775578615118,False
CT_LVOTScTot,583,580,0.0,6.75,158411.0,0.04731642816796202,-0.0630448926480156,0.16731775578615118,False
CT_Peri_Deri,585,581,25.560283860558393,25.942255723978942,158720.0,0.05094755218959756,-0.0660370419406564,0.16731775578615118,False
nyha4,586,581,0.0,0.0,165164.5,0.05297579191495586,-0.02977389812786002,0.16731775578615118,False
brand8,586,581,0.0,0.0,165162.0,0.05536886085673843,-0.029788583882091046,0.16731775578615118,False
CT_Area_Deri,585,581,24.78873424054342,25.160578324878045,159015.5,0.05736608769810898,-0.06429821851508599,0.16731775578615118,False
CT_LVOTScNCC,585,581,0.0,0.0,161237.5,0.06885541080765314,-0.0512232078497139,0.18537995217445077,False
model1,586,581,0.0,0.0,169354.0,0.08186056800596953,-0.005163511187607606,0.2046514200149238,False
nyha2,586,581,0.0,0.0,175798.0,0.15072303176799584,0.03269048891812987,0.33235765343982054,False
CT_LVOTScLCC,585,580,0.0,0.0,162565.0,0.1519349272867751,-0.04176245210727969,0.33235765343982054,False
ECC_INDEX,585,581,0.23,0.23,162500.5,0.1950514093146184,-0.04379128234549923,0.38730429696463786,False
PQADM,413,408,152.0,152.0,79890.0,0.1991850670103852,-0.051773251673550735,0.38730429696463786,False
CT_LVOTScRCC,583,581,0.0,0.0,166250.5,0.35008255895785256,-0.01836899177203788,0.5744936049171383,False
model8,586,581,0.0,0.0,168425.0,0.35153274700068227,-0.010620737459834495,0.5744936049171383,False
QRSADM,457,463,154.0,155.0,102184.5,0.3702488213618029,-0.034131886516912346,0.5744936049171383,False
nyha3,586,581,1.0,1.0,166047.5,0.37233366478671126,-0.024586889733482886,0.5744936049171383,False
CT_AnnScLCC,585,580,127.0,127.67733,164731.0,0.3915801412674661,-0.028994989684644867,0.5744936049171383,False
AGE,586,581,82.38414979275996,82.009582477755,175141.0,0.39393847194318055,0.028831072706231975,0.5744936049171383,False
CT_AnnScTot,584,580,489.55150000000003,502.5,164887.0,0.4354253057916633,-0.026411195087387762,0.6095954281083286,False
CT_AnnScNCC,585,581,186.0,209.0,165726.5,0.46331287821660294,-0.02480839107345134,0.6236904129838886,False
CT_ValScRCC,351,397,274.0,263.0,71461.5,0.5444448852461128,0.025662554629809042,0.705761888281998,False
CT_ValScLCC,352,396,214.85,243.0,68436.0,0.669377263386496,-0.018078512396694224,0.8299759398172735,False
CT_ValScNCC,352,397,339.55,338.0,71060.5,0.6876943501343122,0.01700967483398208,0.8299759398172735,False
CT_AnnScRCC,584,581,128.0,130.0,167772.0,0.7432184564104232,-0.01108150802819885,0.8670881991454937,False
CT_ValvScTot,351,396,903.0,876.3,70075.0,0.8447223715837309,0.008302397191286115,0.9537188066267929,False
SEX,586,581,1.0,1.0,170529.5,0.9516127568928058,0.0017417304517926002,0.96571003953799,False
PREDILATION,586,581,1.0,1.0,169982.0,0.9522440571991976,-0.0014744497247889399,0.96571003953799,False
model7,586,581,0.0,0.0,170115.5,0.9656070067443381,-0.0006902304488554112,0.96571003953799,False
LVEFPRE,565,553,55.0,55.0,156449.5,0.96571003953799,0.0014530557378098496,0.96571003953799,False
