Feature,No_Event_N,Pacemaker_N,No_Event_Median,Pacemaker_Median,MWU_Statistic,MWU_p,Rank_Biserial_NoEvent_vs_Pacemaker,MWU_q,Significant_FDR_0.05
PREDILATION,163,163,1.0,1.0,14833.0,0.0003427264383728462,0.1165644171779141,0.011995425343049619,True
brand2,163,163,1.0,1.0,15566.5,0.0011149761335262213,0.17177914110429437,0.019512082336708873,True
model4,163,163,0.0,0.0,12062.0,0.04454887124436598,-0.09202453987730064,0.43307861925320873,False
QRSADM,159,161,98.0,106.0,11174.5,0.049494699343223855,-0.12695808430016797,0.43307861925320873,False
AFPRE,163,163,0.0,1.0,12143.5,0.12134641145190465,-0.08588957055214719,0.6591044300784259,False
PQADM,115,108,180.0,180.0,5528.5,0.15710605669214037,-0.10974235104669883,0.6591044300784259,False
model1,163,163,0.0,0.0,13121.5,0.15793537444671513,-0.012269938650306789,0.6591044300784259,False
nyha2,163,163,0.0,0.0,14181.0,0.16929754619057436,0.06748466257668717,0.6591044300784259,False
AGE,163,163,82.8868868355008,82.0953418510913,14454.0,0.16948399630588096,0.08803492792351997,0.6591044300784259,False
BMI,163,163,25.8805706350208,26.4462809917355,12211.5,0.20750342171848513,-0.08077082313974937,0.6761884484070527,False
model2,163,163,0.0,0.0,14099.5,0.24835778240762973,0.06134969325153383,0.6761884484070527,False
CT_ValScRCC,162,163,246.1,233.0,14136.0,0.2709036865560448,0.0706657577823222,0.6761884484070527,False
CT_ValScNCC,163,163,374.0,323.0,14192.0,0.28644481604842553,0.06831269524633976,0.6761884484070527,False
brand8,163,163,0.0,0.0,13203.0,0.32028858100823476,-0.006134969325153339,0.6761884484070527,False
nyha4,163,163,0.0,0.0,12877.0,0.346486108748875,-0.030674846625766916,0.6761884484070527,False
CT_LVOTScTot,161,163,7.0,7.6,12382.5,0.3585687376074229,-0.056319780512898654,0.6761884484070527,False
model8,163,163,0.0,0.0,13040.0,0.39748787764535987,-0.018404907975460127,0.6761884484070527,False
CT_LVOTScNCC,163,163,0.0,0.0,12705.0,0.40773898840962264,-0.043622266551243905,0.6761884484070527,False
CT_ValvScTot,162,163,906.5,885.4,13874.5,0.4282239919579284,0.05085965310914187,0.6761884484070527,False
SEX,163,163,1.0,1.0,13855.0,0.4350008220625894,0.042944785276073594,0.6761884484070527,False
model3,163,163,0.0,0.0,13773.5,0.4552730359606214,0.036809815950920255,0.6761884484070527,False
CT_Area_Deri,163,163,23.5844721732425,23.6921643870788,12672.5,0.4723447719144729,-0.04606872671158113,0.6761884484070527,False
CT_LVOTScLCC,163,163,0.0,0.0,12747.5,0.47602724959732967,-0.04042304941849528,0.6761884484070527,False
model7,163,163,0.0,0.0,13610.5,0.48101660199095997,0.024539877300613577,0.6761884484070527,False
CT_AnnMean,163,163,23.8,24.2,12701.0,0.4932167015060879,-0.04392336934020846,0.6761884484070527,False
nyha3,163,163,1.0,1.0,12795.5,0.5023114188166677,-0.036809815950920255,0.6761884484070527,False
CT_AnnScRCC,162,163,8.0,6.6,13594.0,0.6328455987049305,0.029614481557221906,0.8203554057286135,False
CT_AnnScNCC,163,163,23.0,22.2,13630.5,0.6816209804293927,0.026045391245436367,0.8388545852893527,False
CT_Peri_Deri,163,163,24.0641711229947,24.1914947797301,12950.5,0.6950509420968922,-0.025142082878542693,0.8388545852893527,False
CT_LVOTScRCC,161,163,0.0,0.0,13268.0,0.7753730403757151,0.011164882063788406,0.8813249575910626,False
CT_ValScLCC,163,163,215.7,242.0,13522.0,0.7806021052949411,0.017877978094772207,0.8813249575910626,False
LVEFPRE,163,163,60.0,60.0,13160.5,0.8726336004564758,-0.009334186457902072,0.9316456467670905,False
ECC_INDEX,163,163,0.23,0.23,13169.5,0.8928083147228354,-0.008656705182731761,0.9316456467670905,False
CT_AnnScTot,162,163,77.0,79.0,13286.5,0.9219009904707973,0.006324320230250757,0.9316456467670905,False
CT_AnnScLCC,163,163,21.0,16.8,13357.5,0.9316456467670906,0.00549512589860357,0.9316456467670905,False
