Feature,NE_N,PA_N,MWU_stat,MWU_p,NE_Median,PA_Median,NE_Mean,PA_Mean,MWU_q
brand2,586,581,186963.5,0.00015460984450101854,1.0,1.0,0.7798634812286689,0.6815834767641996,0.005875174091038705
model4,586,581,154359.0,0.00040270623719500134,0.0,0.0,0.2354948805460751,0.3287435456110155,0.007651418506705025
BMI,586,581,153259.0,0.0031929163543031034,25.5473877733319,26.0789715335169,26.088773513341188,26.93380694787512,0.04044360715450598
AFPRE,586,581,157810.0,0.007375528927289157,0.0,0.0,0.27986348122866894,0.3528399311531842,0.070067524809247
DM,163,470,34583.5,0.021798947362692753,0.0,0.0,0.24539877300613497,0.3425531914893617,0.16329913956956288
model2,586,581,179795.0,0.02578407466887835,0.0,0.0,0.27303754266211605,0.21686746987951808,0.16329913956956288
model3,586,581,180233.5,0.03480975184893607,0.0,0.0,0.37372013651877134,0.31497418244406195,0.1761722744258688
CT_AnnMean,585,581,158004.5,0.037854612201759404,24.9,25.4,25.152001526495724,25.480409555938035,0.1761722744258688
CT_LVOTScTot,585,581,158959.5,0.041725012364021555,0.0,7.0,66.01948717948719,89.51222030981067,0.1761722744258688
nyha4,586,581,165164.5,0.05297579191495586,0.0,0.0,0.059726962457337884,0.08950086058519793,0.1912742465960055
brand8,586,581,165162.0,0.05536886085673843,0.0,0.0,0.06143344709897611,0.09122203098106713,0.1912742465960055
CT_LVOTScNCC,585,581,161237.5,0.06885541080765314,0.0,0.0,26.82119658119658,36.80137693631669,0.21804213422423493
model1,586,581,169354.0,0.08186056800596953,0.0,0.0,0.0,0.0051635111876075735,0.23928473724821858
nyha2,586,581,175798.0,0.15072303176799584,0.0,0.0,0.20136518771331058,0.1686746987951807,0.3849018157931636
CT_LVOTScLCC,585,580,162565.0,0.1519349272867751,0.0,0.0,33.492820512820515,46.05241379310345,0.3849018157931636
CT_Peri_Deri,585,581,162415.0,0.1904584940073043,78.2,79.0,66.49299888550055,67.33762807129028,0.4220936296404334
PQADM,413,408,79890.0,0.1991850670103852,152.0,152.0,153.02421307506054,158.5514705882353,0.4220936296404334
ECC_INDEX,585,581,162576.0,0.19993908772441582,0.23,0.233552631578947,0.23128628427132783,0.2360392348181616,0.4220936296404334
CT_Area_Deri,585,581,162987.5,0.22641802632155938,452.00775,461.6,377.4545159362727,386.7824578759873,0.4528360526431188
CABGPRE,163,334,26368.5,0.2493042057849506,0.0,0.0,0.06748466257668712,0.09880239520958084,0.4736779909914062
CT_LVOTScRCC,583,581,166250.5,0.35008255895785256,0.0,0.0,5.740480274442539,6.376247848537005,0.5346307833514593
model8,586,581,168425.0,0.35153274700068227,0.0,0.0,0.034129692832764506,0.04475043029259897,0.5346307833514593
QRSADM,457,463,102184.5,0.3702488213618029,154.0,155.0,149.58424507658643,152.3952483801296,0.5346307833514593
nyha3,586,581,166047.5,0.37233366478671126,1.0,1.0,0.6569965870307167,0.6815834767641996,0.5346307833514593
CT_AnnScTot,585,581,164822.0,0.37316482562634723,485.0,505.0,621.613555034188,681.5789795249569,0.5346307833514593
NTPROBNPPRE,115,113,6054.0,0.3736841392433562,2010.0,2490.0,4716.341739130436,5055.123893805309,0.5346307833514593
CT_AnnScLCC,585,580,164731.0,0.3915801412674661,127.0,127.67733,176.49538097777776,201.36259773431033,0.5346307833514593
AGE,586,581,175141.0,0.39393847194318055,82.38414979275996,82.009582477755,81.86128085143577,81.53122017638255,0.5346307833514593
CT_AnnScNCC,585,581,165726.5,0.46331287821660294,186.0,209.0,262.5176325641026,276.78750063683304,0.6070996335252039
CT_ValScRCC,351,397,71461.5,0.5444448852461128,274.0,263.0,331.6692307692308,331.83929471032747,0.6896301879784095
CT_ValScLCC,352,396,68436.0,0.669377263386496,214.85,243.0,268.3173295454545,294.7146464646465,0.8166370407844958
CT_ValScNCC,352,397,71060.5,0.6876943501343122,339.55,338.0,405.4261363636364,399.8362720403023,0.8166370407844958
CT_AnnScRCC,584,581,167772.0,0.7432184564104232,128.0,130.0,185.02279953938356,205.64636749569706,0.8558273134423054
CT_ValvScTot,352,397,70401.0,0.8580717128713669,904.0,880.0,1004.01875,1025.6125944584383,0.9590213261503512
SEX,586,581,170529.5,0.9516127568928058,1.0,1.0,1.3976109215017065,1.395869191049914,0.9794584920333073
PREDILATION,586,581,169982.0,0.9522440571991976,1.0,1.0,0.7713310580204779,0.7728055077452668,0.9794584920333073
model7,586,581,170115.5,0.9656070067443381,0.0,0.0,0.08020477815699659,0.08089500860585198,0.9794584920333073
LVEFPRE,565,553,156085.5,0.9794584920333074,55.0,55.0,51.79362831858408,52.03670886075949,0.9794584920333073
