Feature,NE_N,PA_N,MWU_stat,MWU_p,NE_Median,PA_Median,NE_Mean,PA_Mean,MWU_q
model4,423,418,80095.0,0.003134344853105771,0.0,0.0,0.26004728132387706,0.35406698564593303,0.109702069858702
BMI,423,418,78908.5,0.007005849732220596,25.4326859558726,25.98817568792985,25.98839314263651,26.85351516926351,0.12260237031386044
brand2,423,418,94546.5,0.01849787126420287,1.0,1.0,0.7943262411347518,0.7248803827751196,0.18943865574721983
AFPRE,423,418,82464.0,0.02510336033741581,0.0,0.0,0.2198581560283688,0.28708133971291866,0.18943865574721983
CT_AnnMean,422,418,80634.0,0.031455926951610765,25.3,25.85,25.520594533175352,25.923428114832536,0.18943865574721983
CT_Peri_Deri,422,418,80678.5,0.03247519812809482,82.3,83.6,82.7108406587678,83.99867974401913,0.18943865574721983
model3,423,418,94322.0,0.045039667042207375,0.0,0.0,0.4066193853427896,0.3397129186602871,0.21215808033891562
model2,423,418,93240.5,0.048539413064539294,0.0,0.0,0.2293144208037825,0.17464114832535885,0.21215808033891562
CT_Area_Deri,422,418,81529.0,0.057880279050327624,499.70000000000005,518.65,514.021400663507,528.2156616267943,0.21215808033891562
brand8,423,418,84933.0,0.06286925848554521,0.0,0.0,0.0851063829787234,0.12440191387559808,0.21215808033891562
CT_LVOTScTot,422,418,82194.5,0.06667825382080206,0.0,4.5,77.49052132701422,104.32775119617224,0.21215808033891562
nyha4,423,418,85814.0,0.08828461589072605,0.0,0.0,0.05200945626477541,0.08133971291866028,0.257496796347951
CT_LVOTScNCC,422,418,83417.5,0.10391460792854024,0.0,0.0,33.01184834123223,43.61244019138756,0.2797700982691468
PREDILATION,423,418,84285.5,0.1322285958326525,1.0,1.0,0.6973995271867612,0.7440191387559809,0.33057148958163124
ECC_INDEX,422,418,83067.0,0.14409273431577035,0.23,0.24,0.2308056872037915,0.23760765550239235,0.33448887255381715
CT_AnnScTot,422,418,83217.0,0.1566242793367054,688.5,714.0,815.5609708412322,901.8423136459331,0.33448887255381715
PQADM,298,300,41749.0,0.16246602381185404,140.0,144.0,142.73154362416108,147.86,0.33448887255381715
CT_AnnScLCC,422,417,83320.0,0.18365071501609453,167.0,189.0,226.68553998104264,262.2136850980815,0.35709861253129493
CT_LVOTScRCC,422,418,85619.5,0.19811204461225307,0.0,0.0,6.431279620853081,6.885167464114833,0.35823410033582476
CT_LVOTScLCC,422,417,84198.0,0.20470520019189986,0.0,0.0,38.06872037914692,53.455635491606714,0.35823410033582476
CT_AnnScNCC,422,418,83976.0,0.2298871067385232,290.5,305.5,346.01093613744075,366.75750686602873,0.3831451778975386
model1,423,418,88195.5,0.3155787268002581,0.0,0.0,0.0,0.0023923444976076554,0.502057065364047
QRSADM,298,302,42984.0,0.34287425676005245,170.5,174.0,172.3221476510067,174.39735099337747,0.5217651733305146
CT_AnnScRCC,422,418,84998.0,0.36283272595904914,198.0,204.7732,245.78392163744076,276.09889836124404,0.52913105869028
CT_ValScLCC,189,233,21008.5,0.41779248631789645,213.0,245.0,266.2857142857143,313.41630901287556,0.580467018763138
nyha2,423,418,90138.0,0.4312040710811882,0.0,0.0,0.16312056737588654,0.14354066985645933,0.580467018763138
nyha3,423,418,86614.5,0.5194693981367602,1.0,1.0,0.6950354609929078,0.715311004784689,0.6659246631670631
model7,423,418,87493.5,0.554794141736942,0.0,0.0,0.06382978723404255,0.07416267942583732,0.6659246631670631
CT_ValScNCC,189,234,21394.5,0.5657135890518168,308.0,352.0,392.58730158730157,402.61538461538464,0.6659246631670631
model8,423,418,87735.0,0.5707925684289112,0.0,0.0,0.03546099290780142,0.0430622009569378,0.6659246631670631
CT_ValvScTot,189,234,21545.5,0.6501319622437542,872.0,871.5,1011.9206349206349,1085.2692307692307,0.7340199573719806
SEX,423,418,87163.5,0.6751055535719083,1.0,1.0,1.375886524822695,1.3899521531100478,0.7383966992192746
AGE,423,418,89006.0,0.8650742546052782,82.2203969883641,81.97399041752226,81.65897576548981,81.63159532207408,0.9175029973086284
LVEFPRE,402,390,78572.0,0.9535308939061253,55.0,55.0,51.89054726368159,51.96923076923077,0.9815759201974819
CT_ValScRCC,189,234,22102.0,0.9932981370129851,286.0,304.5,353.8888888888889,370.63675213675214,0.993298137012985
