Feature,NE_N,PA_N,MWU_stat,MWU_p,NE_Median,PA_Median,NE_Mean,PA_Mean,MWU_q
PREDILATION,163,163,14833.0,0.0003427264383728462,1.0,1.0,0.9631901840490797,0.8466257668711656,0.013023604658168157
brand2,163,163,15566.5,0.0011149761335262213,1.0,1.0,0.7423312883435583,0.5705521472392638,0.021184546536998205
model4,163,163,12062.0,0.04454887124436598,0.0,0.0,0.17177914110429449,0.26380368098159507,0.4701996437606266
QRSADM,159,161,11174.5,0.049494699343223855,98.0,106.0,106.96855345911949,111.12422360248448,0.4701996437606266
CABGPRE,163,163,12551.0,0.08998179615869589,0.0,0.0,0.06748466257668712,0.12269938650306748,0.5854901690566797
DM,163,163,12225.0,0.11153504285154461,0.0,0.0,0.24539877300613497,0.32515337423312884,0.5854901690566797
AFPRE,163,163,12143.5,0.12134641145190465,0.0,1.0,0.43558282208588955,0.5214723926380368,0.5854901690566797
PQADM,115,108,5528.5,0.15710605669214037,180.0,180.0,179.69565217391303,188.25,0.5854901690566797
model1,163,163,13121.5,0.15793537444671513,0.0,0.0,0.0,0.012269938650306749,0.5854901690566797
nyha2,163,163,14181.0,0.16929754619057436,0.0,0.0,0.3006134969325153,0.2331288343558282,0.5854901690566797
AGE,163,163,14454.0,0.16948399630588096,82.8868868355008,82.0953418510913,82.386281166498,81.27381642853555,0.5854901690566797
BMI,163,163,12211.5,0.20750342171848513,25.8805706350208,26.4462809917355,26.349269812777237,27.139708564192,0.6570941687752029
model2,163,163,14099.5,0.24835778240762973,0.0,0.0,0.38650306748466257,0.32515337423312884,0.6582011694839095
CT_ValScRCC,162,163,14136.0,0.2709036865560448,246.1,233.0,305.7462962962963,276.14233128834354,0.6582011694839095
CT_ValScNCC,163,163,14192.0,0.28644481604842553,374.0,323.0,420.3128834355828,395.84662576687117,0.6582011694839095
NTPROBNPPRE,115,112,5946.0,0.3184742360377427,2010.0,2540.0,4716.341739130436,5098.044642857143,0.6582011694839095
brand8,163,163,13203.0,0.32028858100823476,0.0,0.0,0.0,0.006134969325153374,0.6582011694839095
CT_LVOTScTot,163,163,12518.5,0.3456762944203081,7.0,7.6,36.321472392638036,51.519018404907975,0.6582011694839095
nyha4,163,163,12877.0,0.346486108748875,0.0,0.0,0.07975460122699386,0.11042944785276074,0.6582011694839095
CT_ValvScTot,163,163,14006.5,0.39647026442843414,908.0,885.4,994.8564417177913,939.9705521472393,0.6582011694839095
model8,163,163,13040.0,0.39748787764535987,0.0,0.0,0.03067484662576687,0.049079754601226995,0.6582011694839095
CT_LVOTScNCC,163,163,12705.0,0.40773898840962264,0.0,0.0,10.793865030674848,19.334969325153374,0.6582011694839095
SEX,163,163,13855.0,0.4350008220625894,1.0,1.0,1.4539877300613497,1.4110429447852761,0.6582011694839095
model3,163,163,13773.5,0.4552730359606214,0.0,0.0,0.2883435582822086,0.25153374233128833,0.6582011694839095
CT_Area_Deri,163,163,12672.5,0.4723447719144729,23.5844721732425,23.6921643870788,23.88871621300322,24.088720649991537,0.6582011694839095
CT_LVOTScLCC,163,163,12747.5,0.47602724959732967,0.0,0.0,21.64601226993865,27.11288343558282,0.6582011694839095
model7,163,163,13610.5,0.48101660199095997,0.0,0.0,0.12269938650306748,0.09815950920245399,0.6582011694839095
CT_AnnMean,163,163,12701.0,0.4932167015060879,23.8,24.2,24.19773006134969,24.344325153374232,0.6582011694839095
nyha3,163,163,12795.5,0.5023114188166677,1.0,1.0,0.558282208588957,0.5950920245398773,0.6582011694839095
CT_AnnScRCC,162,163,13594.0,0.6328455987049305,8.0,6.6,26.743827160493826,24.976687116564417,0.8016044250262453
CT_AnnScNCC,163,163,13630.5,0.6816209804293927,23.0,22.2,46.35705521472392,46.06687116564417,0.8253729937400596
CT_Peri_Deri,163,163,12950.5,0.6950509420968922,24.0641711229947,24.1914947797301,24.50570300624433,24.611740959629813,0.8253729937400596
CT_LVOTScRCC,161,163,13268.0,0.7753730403757151,0.0,0.0,3.929813664596273,5.07116564417178,0.872437647094346
CT_ValScLCC,163,163,13522.0,0.7806021052949411,215.7,242.0,270.6730061349693,267.9815950920245,0.872437647094346
LVEFPRE,163,163,13160.5,0.8726336004564758,60.0,60.0,51.55460122699386,52.19815950920245,0.9254230570521137
ECC_INDEX,163,163,13152.0,0.8767165803651603,0.23134328358209,0.231617647058824,0.23253052944004174,0.2320171498733245,0.9254230570521137
CT_AnnScTot,163,163,13371.0,0.9194587036511533,77.0,79.0,119.49202453987728,116.73190184049079,0.9316456467670907
CT_AnnScLCC,163,163,13357.5,0.9316456467670906,21.0,16.8,46.55521472392638,45.688343558282206,0.9316456467670907
